Saraksts,Partija,Numurs,Vards,Riga,Vidzeme,Latgale,Kurzeme,Zemgale
1,"""Latvijas attīstībai""",1,Agris Akulovs,,,,7,
1,"""Latvijas attīstībai""",2,Inese Albova,,23,,,
1,"""Latvijas attīstībai""",3,Ineta Atgāze,22,,,,
1,"""Latvijas attīstībai""",4,Ģirts Auškāps,7,,,,
1,"""Latvijas attīstībai""",5,Andris Bačkurs,4,,,,
1,"""Latvijas attīstībai""",6,Zane Baltgaile,6,,,,
1,"""Latvijas attīstībai""",7,Erlends Baļķens,,9,,,
1,"""Latvijas attīstībai""",8,Māris Beķers,,,,,8
1,"""Latvijas attīstībai""",9,Artūrs Bergholcs,,10,,,
1,"""Latvijas attīstībai""",10,Ralfs Birķis,5,,,,
1,"""Latvijas attīstībai""",11,Ģirts Bite,15,,,,
1,"""Latvijas attīstībai""",12,Liene Blūma,12,,,,
1,"""Latvijas attīstībai""",13,Aleksejs Bočarovs,,,8,,
1,"""Latvijas attīstībai""",14,Kaspars Bucis,,,,5,
1,"""Latvijas attīstībai""",15,Artūrs Bušs,13,,,,
1,"""Latvijas attīstībai""",16,Liene Cakare,2,,,,
1,"""Latvijas attīstībai""",17,Edgars Ciblis,,,14,,
1,"""Latvijas attīstībai""",18,Uldis Ciekurs,,7,,,
1,"""Latvijas attīstībai""",19,Iveta Ciganova,,,,4,
1,"""Latvijas attīstībai""",20,Viola Daniela,,17,,,
1,"""Latvijas attīstībai""",21,Inese Drone,10,,,,
1,"""Latvijas attīstībai""",22,Pēteris Eimanis,,19,,,
1,"""Latvijas attīstībai""",23,Naira Frijāre,,,,,7
1,"""Latvijas attīstībai""",24,Baiba Fromane,,2,,,
1,"""Latvijas attīstībai""",25,Olga Geitus-Eitvina,,,3,,
1,"""Latvijas attīstībai""",26,Izolde Glavāne,,12,,,
1,"""Latvijas attīstībai""",27,Raivis Grandāns,,,,,9
1,"""Latvijas attīstībai""",28,Mārtiņš Grīnbergs,25,,,,
1,"""Latvijas attīstībai""",29,Arvīds Grīnfelds,,6,,,
1,"""Latvijas attīstībai""",30,Ilmārs Gruduls,28,,,,
1,"""Latvijas attīstībai""",31,Jana Hermane,,20,,,
1,"""Latvijas attīstībai""",32,Oskars Ikstens,,,5,,
1,"""Latvijas attīstībai""",33,Emīls Jakrins,,3,,,
1,"""Latvijas attīstībai""",34,Ineta Jansone,11,,,,
1,"""Latvijas attīstībai""",35,Jūlija Jaunrodziņa,,,6,,
