Vards,Partija,Apgabals
Aldis Adamovičs,"Partija ""VIENOTĪBA""",Latgale
Valērijs Agešins,"""Saskaņa"" sociāldemokrātiskā partija",Kurzeme
Uldis Augulis,Zaļo un Zemnieku savienība,Zemgale
Jānis Ādamsons,"""Saskaņa"" sociāldemokrātiskā partija",Vidzeme
Ringolds Balodis,No sirds Latvijai,Kurzeme
Aija Barča,Zaļo un Zemnieku savienība,Kurzeme
Guntis Belēvičs,Zaļo un Zemnieku savienība,Rīga
Raimonds Bergmanis,Zaļo un Zemnieku savienība,Zemgale
Andris Bērziņš,Zaļo un Zemnieku savienība,Zemgale
Gaidis Bērziņš,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Kurzeme
Inga Bite,Latvijas Reģionu Apvienība,Rīga
Inesis Boķis,"Partija ""VIENOTĪBA""",Vidzeme
Mārtiņš Bondars,Latvijas Reģionu Apvienība,Vidzeme
Augusts Brigmanis,Zaļo un Zemnieku savienība,Zemgale
Andris Buiķis,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Zemgale
Boriss Cilevičs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
Einārs Cilinskis,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga
Lolita Čigāne,"Partija ""VIENOTĪBA""",Rīga
Gundars Daudze,Zaļo un Zemnieku savienība,Kurzeme
Ints Dālderis,"Partija ""VIENOTĪBA""",Kurzeme
Sergejs Dolgopolovs,"""Saskaņa"" sociāldemokrātiskā partija",Vidzeme
Jānis Dombrava,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme
Jānis Dūklavs,Zaļo un Zemnieku savienība,Vidzeme
Raivis Dzintars,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme
Rihards Eigims,Zaļo un Zemnieku savienība,Latgale
Andrejs Elksniņš,"""Saskaņa"" sociāldemokrātiskā partija",Latgale
Marjana Ivanova-Jevsejeva,"""Saskaņa"" sociāldemokrātiskā partija",Latgale
Andrejs Judins,"Partija ""VIENOTĪBA""",Rīga
Jānis Junkurs,"Partija ""VIENOTĪBA""",Kurzeme
Arturs Kaimiņš,Latvijas Reģionu Apvienība,Rīga
Ojārs Ēriks Kalniņš,"Partija ""VIENOTĪBA""",Rīga
Jānis Klaužs,Zaļo un Zemnieku savienība,Latgale
Nellija Kleinberga,Latvijas Reģionu Apvienība,Kurzeme
Andrejs Klementjevs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
Ivans Klementjevs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
Rihards Kols,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme
Rihards Kozlovskis,"Partija ""VIENOTĪBA""",Rīga
Armands Krauze,Zaļo un Zemnieku savienība,Vidzeme
Kārlis Krēsliņš,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme
Māris Kučinskis,Zaļo un Zemnieku savienība,Rīga
Janīna Kursīte-Pakule,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Kurzeme
Gunārs Kūtris,No sirds Latvijai,Vidzeme
Vilnis Ķirsis,"Partija ""VIENOTĪBA""",Vidzeme
Inese Laizāne,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Latgale
Ainars Latkovskis,"Partija ""VIENOTĪBA""",Vidzeme
Ilmārs Latkovskis,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga
Atis Lejiņš,"Partija ""VIENOTĪBA""",Zemgale
Dainis Liepiņš,Latvijas Reģionu Apvienība,Zemgale
Inese Lībiņa-Egnere,"Partija ""VIENOTĪBA""",Kurzeme
Ingmārs Līdaka,Zaļo un Zemnieku savienība,Vidzeme
Regīna Ločmele-Luņova,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
Aleksejs Loskutovs,"Partija ""VIENOTĪBA""",Rīga
Anrijs Matīss,"Partija ""VIENOTĪBA""",Latgale
Aivars Meija,No sirds Latvijai,Zemgale
Dace Melbārde,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga
Romāns Mežeckis,No sirds Latvijai,Rīga
Ainārs Mežulis,Zaļo un Zemnieku savienība,Vidzeme
Sergejs Mirskis,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
Ināra Mūrniece,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme
Romāns Naudiņš,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme
Vladimirs Nikonovs,"""Saskaņa"" sociāldemokrātiskā partija",Latgale
Ņikita Ņikiforovs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
Vitālijs Orlovs,"""Saskaņa"" sociāldemokrātiskā partija",Zemgale
Imants Parādnieks,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Zemgale
Igors Pimenovs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
Arvīds Platpers,No sirds Latvijai,Vidzeme
Sergejs Potapkins,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
Artis Rasmanis,Zaļo un Zemnieku savienība,Vidzeme
Dzintars Rasnačs,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga
Romualds Ražuks,"Partija ""VIENOTĪBA""",Vidzeme
Jānis Reirs,"Partija ""VIENOTĪBA""",Zemgale
Dana Reizniece-Ozola,Zaļo un Zemnieku savienība,Kurzeme
Ivans Ribakovs,"""Saskaņa"" sociāldemokrātiskā partija",Latgale
Edgars Rinkēvičs,"Partija ""VIENOTĪBA""",Rīga
Inguna Rībena,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga
Artūrs Rubiks,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
Raimonds Rubiks,"""Saskaņa"" sociāldemokrātiskā partija",Latgale
Jānis Ruks,Latvijas Reģionu Apvienība,Vidzeme
Kārlis Seržants,Zaļo un Zemnieku savienība,Rīga
Andris Siliņš,Zaļo un Zemnieku savienība,Vidzeme
Valdis Skujiņš,Zaļo un Zemnieku savienība,Kurzeme
Jūlija Stepaņenko,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
Laimdota Straujuma,"Partija ""VIENOTĪBA""",Vidzeme
Inguna Sudraba,No sirds Latvijai,Rīga
Kārlis Šadurskis,"Partija ""VIENOTĪBA""",Vidzeme
Mārtiņš Šics,Latvijas Reģionu Apvienība,Rīga
Silvija Šimfa,No sirds Latvijai,Latgale
Edvīns Šnore,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Zemgale
Juris Šulcs,"Partija ""VIENOTĪBA""",Zemgale
Zenta Tretjaka,"""Saskaņa"" sociāldemokrātiskā partija",Zemgale
Jānis Tutins,"""Saskaņa"" sociāldemokrātiskā partija",Latgale
Jānis Upenieks,"Partija ""VIENOTĪBA""",Vidzeme
Jānis Urbanovičs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
Raimonds Vējonis,Zaļo un Zemnieku savienība,Latgale
Juris Viļums,Latvijas Reģionu Apvienība,Latgale
Ilze Viņķele,"Partija ""VIENOTĪBA""",Rīga
Jānis Vucāns,Zaļo un Zemnieku savienība,Kurzeme
Dzintars Zaķis,"Partija ""VIENOTĪBA""",Latgale
Ivars Zariņš,"""Saskaņa"" sociāldemokrātiskā partija",Vidzeme
Mihails Zemļinskis,"""Saskaņa"" sociāldemokrātiskā partija",Rīga
