Saraksts,Partija,Numurs,Vards,Apgabals,Rangs
1,"""Latvijas attīstībai""",1,Agris Akulovs,Kurzeme,7
1,"""Latvijas attīstībai""",2,Inese Albova,Vidzeme,23
1,"""Latvijas attīstībai""",3,Ineta Atgāze,Riga,22
1,"""Latvijas attīstībai""",4,Ģirts Auškāps,Riga,7
1,"""Latvijas attīstībai""",5,Andris Bačkurs,Riga,4
1,"""Latvijas attīstībai""",6,Zane Baltgaile,Riga,6
1,"""Latvijas attīstībai""",7,Erlends Baļķens,Vidzeme,9
1,"""Latvijas attīstībai""",8,Māris Beķers,Zemgale,8
1,"""Latvijas attīstībai""",9,Artūrs Bergholcs,Vidzeme,10
1,"""Latvijas attīstībai""",10,Ralfs Birķis,Riga,5
1,"""Latvijas attīstībai""",11,Ģirts Bite,Riga,15
1,"""Latvijas attīstībai""",12,Liene Blūma,Riga,12
1,"""Latvijas attīstībai""",13,Aleksejs Bočarovs,Latgale,8
1,"""Latvijas attīstībai""",14,Kaspars Bucis,Kurzeme,5
1,"""Latvijas attīstībai""",15,Artūrs Bušs,Riga,13
1,"""Latvijas attīstībai""",16,Liene Cakare,Riga,2
1,"""Latvijas attīstībai""",17,Edgars Ciblis,Latgale,14
1,"""Latvijas attīstībai""",18,Uldis Ciekurs,Vidzeme,7
1,"""Latvijas attīstībai""",19,Iveta Ciganova,Kurzeme,4
1,"""Latvijas attīstībai""",20,Viola Daniela,Vidzeme,17
1,"""Latvijas attīstībai""",21,Inese Drone,Riga,10
1,"""Latvijas attīstībai""",22,Pēteris Eimanis,Vidzeme,19
1,"""Latvijas attīstībai""",23,Naira Frijāre,Zemgale,7
1,"""Latvijas attīstībai""",24,Baiba Fromane,Vidzeme,2
1,"""Latvijas attīstībai""",25,Olga Geitus-Eitvina,Latgale,3
1,"""Latvijas attīstībai""",26,Izolde Glavāne,Vidzeme,12
1,"""Latvijas attīstībai""",27,Raivis Grandāns,Zemgale,9
1,"""Latvijas attīstībai""",28,Mārtiņš Grīnbergs,Riga,25
1,"""Latvijas attīstībai""",29,Arvīds Grīnfelds,Vidzeme,6
1,"""Latvijas attīstībai""",30,Ilmārs Gruduls,Riga,28
1,"""Latvijas attīstībai""",31,Jana Hermane,Vidzeme,20
1,"""Latvijas attīstībai""",32,Oskars Ikstens,Latgale,5
1,"""Latvijas attīstībai""",33,Emīls Jakrins,Vidzeme,3
1,"""Latvijas attīstībai""",34,Ineta Jansone,Riga,11
1,"""Latvijas attīstībai""",35,Jūlija Jaunrodziņa,Latgale,6
1,"""Latvijas attīstībai""",36,Edgars Jaunups,Latgale,1
1,"""Latvijas attīstībai""",37,Vladimirs Jefimovs,Riga,24
1,"""Latvijas attīstībai""",38,Mihails Juhņevičs,Latgale,11
1,"""Latvijas attīstībai""",39,Edgars Kalējs,Riga,14
1,"""Latvijas attīstībai""",40,Ainārs Kalniņš,Riga,21
1,"""Latvijas attīstībai""",41,Andris Kārkliņš,Vidzeme,18
1,"""Latvijas attīstībai""",42,Gunita Keiriša,Vidzeme,21
