Saraksts,Partija,Numurs,Vards,Gender,Apgabals,Rangs
1,"""Latvijas attīstībai""",1,Agris Akulovs,Male,Kurzeme,7
1,"""Latvijas attīstībai""",2,Inese Albova,Female,Vidzeme,23
1,"""Latvijas attīstībai""",3,Ineta Atgāze,Female,Riga,22
1,"""Latvijas attīstībai""",4,Ģirts Auškāps,Male,Riga,7
1,"""Latvijas attīstībai""",5,Andris Bačkurs,Male,Riga,4
1,"""Latvijas attīstībai""",6,Zane Baltgaile,Female,Riga,6
1,"""Latvijas attīstībai""",7,Erlends Baļķens,Male,Vidzeme,9
1,"""Latvijas attīstībai""",8,Māris Beķers,Male,Zemgale,8
1,"""Latvijas attīstībai""",9,Artūrs Bergholcs,Male,Vidzeme,10
1,"""Latvijas attīstībai""",10,Ralfs Birķis,Male,Riga,5
1,"""Latvijas attīstībai""",11,Ģirts Bite,Male,Riga,15
1,"""Latvijas attīstībai""",12,Liene Blūma,Female,Riga,12
1,"""Latvijas attīstībai""",13,Aleksejs Bočarovs,Male,Latgale,8
1,"""Latvijas attīstībai""",14,Kaspars Bucis,Male,Kurzeme,5
1,"""Latvijas attīstībai""",15,Artūrs Bušs,Male,Riga,13
1,"""Latvijas attīstībai""",16,Liene Cakare,Female,Riga,2
1,"""Latvijas attīstībai""",17,Edgars Ciblis,Male,Latgale,14
1,"""Latvijas attīstībai""",18,Uldis Ciekurs,Male,Vidzeme,7
1,"""Latvijas attīstībai""",19,Iveta Ciganova,Female,Kurzeme,4
1,"""Latvijas attīstībai""",20,Viola Daniela,Female,Vidzeme,17
1,"""Latvijas attīstībai""",21,Inese Drone,Female,Riga,10
1,"""Latvijas attīstībai""",22,Pēteris Eimanis,Male,Vidzeme,19
1,"""Latvijas attīstībai""",23,Naira Frijāre,Female,Zemgale,7
1,"""Latvijas attīstībai""",24,Baiba Fromane,Female,Vidzeme,2
1,"""Latvijas attīstībai""",25,Olga Geitus-Eitvina,Female,Latgale,3
1,"""Latvijas attīstībai""",26,Izolde Glavāne,Female,Vidzeme,12
1,"""Latvijas attīstībai""",27,Raivis Grandāns,Male,Zemgale,9
1,"""Latvijas attīstībai""",28,Mārtiņš Grīnbergs,Male,Riga,25
1,"""Latvijas attīstībai""",29,Arvīds Grīnfelds,Male,Vidzeme,6
1,"""Latvijas attīstībai""",30,Ilmārs Gruduls,Male,Riga,28
1,"""Latvijas attīstībai""",31,Jana Hermane,Female,Vidzeme,20
1,"""Latvijas attīstībai""",32,Oskars Ikstens,Male,Latgale,5
1,"""Latvijas attīstībai""",33,Emīls Jakrins,Male,Vidzeme,3
1,"""Latvijas attīstībai""",34,Ineta Jansone,Female,Riga,11
1,"""Latvijas attīstībai""",35,Jūlija Jaunrodziņa,Female,Latgale,6
1,"""Latvijas attīstībai""",36,Edgars Jaunups,Male,Latgale,1
1,"""Latvijas attīstībai""",37,Vladimirs Jefimovs,Male,Riga,24
1,"""Latvijas attīstībai""",38,Mihails Juhņevičs,Male,Latgale,11
1,"""Latvijas attīstībai""",39,Edgars Kalējs,Male,Riga,14
1,"""Latvijas attīstībai""",40,Ainārs Kalniņš,Male,Riga,21
1,"""Latvijas attīstībai""",41,Andris Kārkliņš,Male,Vidzeme,18
1,"""Latvijas attīstībai""",42,Gunita Keiriša,Female,Vidzeme,21
1,"""Latvijas attīstībai""",43,Dace Kizino,Female,Vidzeme,4
1,"""Latvijas attīstībai""",44,Toms Krastenbergs,Male,Zemgale,13
1,"""Latvijas attīstībai""",45,Ēriks Kumerdanks,Male,Riga,18
1,"""Latvijas attīstībai""",46,Visvaldis Kursītis,Male,Latgale,9
1,"""Latvijas attīstībai""",47,Kristaps Laipnieks,Male,Riga,19
1,"""Latvijas attīstībai""",48,Inga Lamstere,Female,Vidzeme,11
1,"""Latvijas attīstībai""",49,Vadims Lapins,Male,Vidzeme,26
1,"""Latvijas attīstībai""",50,Ilze Latiša,Female,Latgale,7
1,"""Latvijas attīstībai""",51,Viesturs Liepkalns,Male,Riga,26
1,"""Latvijas attīstībai""",52,Miks Lormanis,Male,Kurzeme,6
1,"""Latvijas attīstībai""",53,Santa Markauska,Female,Kurzeme,10
1,"""Latvijas attīstībai""",54,Kristīne Mirzahanjana,Female,Riga,23
1,"""Latvijas attīstībai""",55,Vladimirs Mišins,Male,Riga,32
1,"""Latvijas attīstībai""",56,Zane Muceniece,Female,Zemgale,14
1,"""Latvijas attīstībai""",57,Nelda Otvare,Female,Riga,29
1,"""Latvijas attīstībai""",58,Arta Pirktiņa,Female,Riga,17
1,"""Latvijas attīstībai""",59,Uldis Pirktiņš,Male,Kurzeme,3
1,"""Latvijas attīstībai""",60,Rihards Pīks,Male,Kurzeme,1
1,"""Latvijas attīstībai""",61,Artūrs Toms Plešs,Male,Zemgale,6
1,"""Latvijas attīstībai""",62,Rolands Pogulis,Male,Riga,16
1,"""Latvijas attīstībai""",63,Laila Pole,Female,Zemgale,4
1,"""Latvijas attīstībai""",64,Iveta Preisa-Imaka,Female,Vidzeme,14
1,"""Latvijas attīstībai""",65,Agris Punculs,Male,Latgale,2
1,"""Latvijas attīstībai""",66,Juris Pūce,Male,Riga,1
1,"""Latvijas attīstībai""",67,Andris Radelis,Male,Kurzeme,12
1,"""Latvijas attīstībai""",68,Einars Repše,Male,Vidzeme,1
1,"""Latvijas attīstībai""",69,Vladimirs Reskājs,Male,Zemgale,1
1,"""Latvijas attīstībai""",70,Juris Rieksts-Riekstiņš,Male,Vidzeme,25
1,"""Latvijas attīstībai""",71,Antra Roskoša,Female,Riga,8
1,"""Latvijas attīstībai""",72,Mārtiņš Roze,Male,Riga,30
1,"""Latvijas attīstībai""",73,Aija Rozena,Female,Vidzeme,16
1,"""Latvijas attīstībai""",74,Dzintars Rozens,Male,Vidzeme,15
1,"""Latvijas attīstībai""",75,Ilga Sitale,Female,Riga,31
1,"""Latvijas attīstībai""",76,Renārs Smoļaks,Male,Riga,20
1,"""Latvijas attīstībai""",77,Pauls Sondors,Male,Vidzeme,8
1,"""Latvijas attīstībai""",78,Elita Sproģe,Female,Zemgale,3
1,"""Latvijas attīstībai""",79,Ieva Strongina,Female,Vidzeme,24
1,"""Latvijas attīstībai""",80,Eduards Sūniņš,Male,Vidzeme,5
1,"""Latvijas attīstībai""",81,Agnija Šankova,Female,Kurzeme,9
1,"""Latvijas attīstībai""",82,Juris Šmits,Male,Kurzeme,8
1,"""Latvijas attīstībai""",83,Rūdolfs Šnepsts,Male,Kurzeme,11
1,"""Latvijas attīstībai""",84,Toms Šubrovskis,Male,Latgale,10
1,"""Latvijas attīstībai""",85,Zane Šūmakere,Female,Zemgale,5
1,"""Latvijas attīstībai""",86,Raitis Tukāns,Male,Latgale,15
1,"""Latvijas attīstībai""",87,Vilnis Tukums,Male,Kurzeme,13
1,"""Latvijas attīstībai""",88,Edgars Upenieks,Male,Zemgale,12
1,"""Latvijas attīstībai""",89,Mārtiņš Vadzis,Male,Zemgale,2
1,"""Latvijas attīstībai""",90,Sabīne Vārtiņa,Female,Vidzeme,22
1,"""Latvijas attīstībai""",91,Ksenija Vēze-Veise,Female,Zemgale,11
1,"""Latvijas attīstībai""",92,Armands Vijups,Male,Vidzeme,13
1,"""Latvijas attīstībai""",93,Aiva Vilcāne,Female,Kurzeme,2
1,"""Latvijas attīstībai""",94,Rasma Zaharenko,Female,Latgale,4
1,"""Latvijas attīstībai""",95,Kristaps Zaharkevičs,Male,Riga,27
1,"""Latvijas attīstībai""",96,Iveta Zalpētere,Female,Riga,3
1,"""Latvijas attīstībai""",97,Edgars Zandmanis,Male,Latgale,13
1,"""Latvijas attīstībai""",98,Vilis Zilgalvis,Male,Latgale,12
1,"""Latvijas attīstībai""",99,Armands Zivtiņš,Male,Riga,9
1,"""Latvijas attīstībai""",100,Linda Žukovska,Female,Zemgale,10
2,"""SUVERENITĀTE""",1,Ilvars Barkāns,Male,Latgale,9
2,"""SUVERENITĀTE""",2,Māris Barkāns,Male,Riga,13
2,"""SUVERENITĀTE""",3,Jānis Cīrulis,Male,Vidzeme,8
2,"""SUVERENITĀTE""",4,Dmitrijs Dēliņš,Male,Kurzeme,5
2,"""SUVERENITĀTE""",5,Ivans Feščenko,Male,Latgale,7
2,"""SUVERENITĀTE""",6,Artis Freibergs,Male,Vidzeme,3
2,"""SUVERENITĀTE""",7,Sergejs Golodņikovs,Male,Riga,12
2,"""SUVERENITĀTE""",8,Dainis Grabovskis,Male,Zemgale,1
2,"""SUVERENITĀTE""",9,Sigurds Graudiņš,Male,Zemgale,4
2,"""SUVERENITĀTE""",10,Inga Gutberga,Female,Riga,4
2,"""SUVERENITĀTE""",11,Aleksandrs Kačalkins,Male,Zemgale,3
2,"""SUVERENITĀTE""",12,Jeļena Kantāne,Female,Riga,6
2,"""SUVERENITĀTE""",13,Zane Lejniece-Puķe,Female,Vidzeme,6
2,"""SUVERENITĀTE""",14,Raimonds Lejnieks-Puķe,Male,Zemgale,2
2,"""SUVERENITĀTE""",15,Andrejs Nikoļskis,Male,Riga,8
2,"""SUVERENITĀTE""",16,Andris Orols,Male,Riga,1
2,"""SUVERENITĀTE""",17,Ingars Pētersons,Male,Latgale,2
2,"""SUVERENITĀTE""",18,Edgars Poika,Male,Riga,9
2,"""SUVERENITĀTE""",19,Aleksandrs Poika,Male,Vidzeme,4
2,"""SUVERENITĀTE""",20,Tatjana Popova,Female,Kurzeme,4
2,"""SUVERENITĀTE""",21,Artūrs Ratnieks,Male,Riga,3
2,"""SUVERENITĀTE""",22,Žanna Redzoba,Female,Zemgale,5
2,"""SUVERENITĀTE""",23,Kaspars Savickis,Male,Riga,11
2,"""SUVERENITĀTE""",24,Uldis Sēne,Male,Kurzeme,3
2,"""SUVERENITĀTE""",25,Artis Silavnieks,Male,Riga,10
2,"""SUVERENITĀTE""",26,Aleksandra Siliniece,Female,Latgale,4
2,"""SUVERENITĀTE""",27,Aivars Silinieks,Male,Riga,2
2,"""SUVERENITĀTE""",28,Georgijs Sokolovskis,Male,Vidzeme,9
2,"""SUVERENITĀTE""",29,Lita Sproģe,Female,Kurzeme,2
2,"""SUVERENITĀTE""",30,Ēvalds Staris,Male,Latgale,6
2,"""SUVERENITĀTE""",31,Maira Stumbre,Female,Riga,7
2,"""SUVERENITĀTE""",32,Agris Sūna,Male,Vidzeme,2
2,"""SUVERENITĀTE""",33,Armands Šenbergs,Male,Riga,5
2,"""SUVERENITĀTE""",34,Kristīne Ševeļova,Female,Zemgale,6
2,"""SUVERENITĀTE""",35,Jevgēnijs Šuļga,Male,Latgale,5
2,"""SUVERENITĀTE""",36,Ēriks Trukšāns,Male,Latgale,8
2,"""SUVERENITĀTE""",37,Dmitrijs Usins,Male,Latgale,1
2,"""SUVERENITĀTE""",38,Kaspars Vainovskis,Male,Vidzeme,7
