Saraksts,Partija,OldNumurs,Ievelets,Vards,Gender,Apgabals,Numurs,Ievelets
1,"""Latvijas attīstībai""",1,false,Agris Akulovs,Male,Kurzeme,7,false
1,"""Latvijas attīstībai""",2,false,Inese Albova,Female,Vidzeme,23,false
1,"""Latvijas attīstībai""",3,false,Ineta Atgāze,Female,Riga,22,false
1,"""Latvijas attīstībai""",4,false,Ģirts Auškāps,Male,Riga,7,false
1,"""Latvijas attīstībai""",5,false,Andris Bačkurs,Male,Riga,4,false
1,"""Latvijas attīstībai""",6,false,Zane Baltgaile,Female,Riga,6,false
1,"""Latvijas attīstībai""",7,false,Erlends Baļķens,Male,Vidzeme,9,false
1,"""Latvijas attīstībai""",8,false,Māris Beķers,Male,Zemgale,8,false
1,"""Latvijas attīstībai""",9,false,Artūrs Bergholcs,Male,Vidzeme,10,false
1,"""Latvijas attīstībai""",10,false,Ralfs Birķis,Male,Riga,5,false
1,"""Latvijas attīstībai""",11,false,Ģirts Bite,Male,Riga,15,false
1,"""Latvijas attīstībai""",12,false,Liene Blūma,Female,Riga,12,false
1,"""Latvijas attīstībai""",13,false,Aleksejs Bočarovs,Male,Latgale,8,false
1,"""Latvijas attīstībai""",14,false,Kaspars Bucis,Male,Kurzeme,5,false
1,"""Latvijas attīstībai""",15,false,Artūrs Bušs,Male,Riga,13,false
1,"""Latvijas attīstībai""",16,false,Liene Cakare,Female,Riga,2,false
1,"""Latvijas attīstībai""",17,false,Edgars Ciblis,Male,Latgale,14,false
1,"""Latvijas attīstībai""",18,false,Uldis Ciekurs,Male,Vidzeme,7,false
1,"""Latvijas attīstībai""",19,false,Iveta Ciganova,Female,Kurzeme,4,false
1,"""Latvijas attīstībai""",20,false,Viola Daniela,Female,Vidzeme,17,false
1,"""Latvijas attīstībai""",21,false,Inese Drone,Female,Riga,10,false
1,"""Latvijas attīstībai""",22,false,Pēteris Eimanis,Male,Vidzeme,19,false
1,"""Latvijas attīstībai""",23,false,Naira Frijāre,Female,Zemgale,7,false
1,"""Latvijas attīstībai""",24,false,Baiba Fromane,Female,Vidzeme,2,false
1,"""Latvijas attīstībai""",25,false,Olga Geitus-Eitvina,Female,Latgale,3,false
1,"""Latvijas attīstībai""",26,false,Izolde Glavāne,Female,Vidzeme,12,false
1,"""Latvijas attīstībai""",27,false,Raivis Grandāns,Male,Zemgale,9,false
1,"""Latvijas attīstībai""",28,false,Mārtiņš Grīnbergs,Male,Riga,25,false
1,"""Latvijas attīstībai""",29,false,Arvīds Grīnfelds,Male,Vidzeme,6,false
1,"""Latvijas attīstībai""",30,false,Ilmārs Gruduls,Male,Riga,28,false
1,"""Latvijas attīstībai""",31,false,Jana Hermane,Female,Vidzeme,20,false
1,"""Latvijas attīstībai""",32,false,Oskars Ikstens,Male,Latgale,5,false
1,"""Latvijas attīstībai""",33,false,Emīls Jakrins,Male,Vidzeme,3,false
1,"""Latvijas attīstībai""",34,false,Ineta Jansone,Female,Riga,11,false
1,"""Latvijas attīstībai""",35,false,Jūlija Jaunrodziņa,Female,Latgale,6,false
