Vards,Partija,Apgabals,Numurs
Aldis Adamovičs,Jaunā VIENOTĪBA,Latgale,1
Valērijs Agešins,"""Saskaņa"" sociāldemokrātiskā partija",Kurzeme,2
Arvils Ašeradens,Jaunā VIENOTĪBA,Kurzeme,1
Uldis Augulis,Zaļo un Zemnieku savienība,Zemgale,2
Jānis Ādamsons,"""Saskaņa"" sociāldemokrātiskā partija",Vidzeme,4
Dagmāra Beitnere-Le Galla,Jaunā konservatīvā partija,Vidzeme,2
Iveta Benhena-Bēkena,"Politiskā partija ""KPV LV""",Rīga,2
Raimonds Bergmanis,Zaļo un Zemnieku savienība,Vidzeme,2
Aldis Blumbergs,"Politiskā partija ""KPV LV""",Vidzeme,3
Mārtiņš Bondars,Attīstībai/Par!,Latgale,1
Jānis Bordāns,Jaunā konservatīvā partija,Vidzeme,1
Uldis Budriķis,Jaunā konservatīvā partija,Kurzeme,4
Boriss Cilevičs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga,9
Anda Čakša,Zaļo un Zemnieku savienība,Rīga,3
Gundars Daudze,Zaļo un Zemnieku savienība,Kurzeme,1
Sergejs Dolgopolovs,"""Saskaņa"" sociāldemokrātiskā partija",Vidzeme,3
Jānis Dombrava,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme,3
Vjačeslavs Dombrovskis,"""Saskaņa"" sociāldemokrātiskā partija",Rīga,1
Jānis Dūklavs,Zaļo un Zemnieku savienība,Latgale,1
Ilmārs Dūrītis,Attīstībai/Par!,Zemgale,5
Raivis Dzintars,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme,1
Gatis Eglītis,Jaunā konservatīvā partija,Rīga,2
Krišjānis Feldmans,Jaunā konservatīvā partija,Zemgale,1
Aldis Gobzems,"Politiskā partija ""KPV LV""",Rīga,38
Inga Goldberga,"""Saskaņa"" sociāldemokrātiskā partija",Latgale,2
Marija Golubeva,Attīstībai/Par!,Rīga,4
Kaspars Ģirģens,"Politiskā partija ""KPV LV""",Zemgale,1
Inese Ikstena,Attīstībai/Par!,Vidzeme,10
Ilze Indriksone,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Kurzeme,1
Janīna Jalinska,Zaļo un Zemnieku savienība,Latgale,5
Ritvars Jansons,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga,3
Andrejs Judins,Jaunā VIENOTĪBA,Rīga,4
Juris Jurašs,Jaunā konservatīvā partija,Kurzeme,1
Nikolajs Kabanovs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga,25
Artuss Kaimiņš,"Politiskā partija ""KPV LV""",Rīga,1
Ojārs Ēriks Kalniņš,Jaunā VIENOTĪBA,Rīga,6
Aleksandrs Kiršteins,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga,4
Andrejs Klementjevs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga,3
Ivans Klementjevs,"""Saskaņa"" sociāldemokrātiskā partija",Rīga,15
Rihards Kols,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga,2
Ieva Krapāne,"Politiskā partija ""KPV LV""",Vidzeme,5
Armands Krauze,Zaļo un Zemnieku savienība,Vidzeme,3
Jānis Krišāns,"""Saskaņa"" sociāldemokrātiskā partija",Latgale,1
Edgars Kucins,"""Saskaņa"" sociāldemokrātiskā partija",Latgale,10
Māris Kučinskis,Zaļo un Zemnieku savienība,Vidzeme,1
Janīna Kursīte,"Politiskā partija ""KPV LV""",Latgale,10
Janīna Kursīte-Pakule,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Kurzeme,2
Ainars Latkovskis,Jaunā VIENOTĪBA,Vidzeme,3
Linda Liepiņa,"Politiskā partija ""KPV LV""",Vidzeme,1
Tālis Linkaits,Jaunā konservatīvā partija,Rīga,4
Inese Lībiņa-Egnere,Jaunā VIENOTĪBA,Vidzeme,1
Regīna Ločmele-Luņova,"""Saskaņa"" sociāldemokrātiskā partija",Rīga,4
