Saraksts,Partija,Vards,Apgabals,Numurs,Gads,DarbaVieta,Amats
1,Jaunā VIENOTĪBA,Hosams Abu Meri,Vidzeme,29,1974,SIA AMH,gastroenterologs- endoskopists
1,Jaunā VIENOTĪBA,Arvils Ašeradens,Kurzeme,1,1962,Latvijas Republikas Saeima,Deputāts
1,Jaunā VIENOTĪBA,Imants Babris,Latgale,16,1963,Preiļu novada Bērnu un jauniešu sporta skola,Futbola treneris
1,Jaunā VIENOTĪBA,Viktorija Baire,Vidzeme,10,1982,Ķekavas novada dome,deputāte
1,Jaunā VIENOTĪBA,Normunds Balabka,Rīga,19,1973,Ropažu novada pašvaldība,Ulbrokas vidusskolas direktors
1,Jaunā VIENOTĪBA,Oskars Baltais,Rīga,36,1995,Bezdarbnieks,
1,Jaunā VIENOTĪBA,Andis Bāliņš,Kurzeme,9,1992,"MV Latvia, SIA",Veikala vadītājs
1,Jaunā VIENOTĪBA,Iveta Benhena-Bēkena,Rīga,8,1986,Latvijas Republikas Saeima,Deputāts
1,Jaunā VIENOTĪBA,Inga Bērziņa,Kurzeme,2,1963,Kuldīgas novada dome,Priekšsēdētāja
1,Jaunā VIENOTĪBA,Marija Briška,Latgale,12,1952,Latgales reģionālā pensionāru apvienība,priekšsēdētājas vietniece
1,Jaunā VIENOTĪBA,Didzis Brūklītis,Rīga,34,1982,Ekonomikas ministrija,Nodaļas vadītājs
1,Jaunā VIENOTĪBA,Maruta Castrova,Latgale,10,1959,"Balvu novada pašvaldība, Balvu pilsētas pārvalde",Balvu pilsētas pārvaldes vadītāja
1,Jaunā VIENOTĪBA,Malda Caune,Vidzeme,13,1958,Salaspils novada dome,priekšsēdētāja vietniece sociālajos un sporta jautājumos
1,Jaunā VIENOTĪBA,Andrejs Ceļapīters,Vidzeme,9,1964,Madonas novada pašvaldība,Deputāts
1,Jaunā VIENOTĪBA,Miķelis Cinis,Rīga,30,1993,Ādažu novada pašvaldība,Teritorijas plānotājs
1,Jaunā VIENOTĪBA,Ingrīda Circene,Kurzeme,6,1956,SIA Dziedniecība,Galvenais ārsts ginekoloģijā
1,Jaunā VIENOTĪBA,Anda Čakša,Zemgale,2,1974,Latvijas Republikas Saeima,Deputāte
1,Jaunā VIENOTĪBA,Lolita Čigāne,Rīga,9,1973,EDSO (Eiropas Drošības un Sadarbības organizācija),Misiju vadītāja
1,Jaunā VIENOTĪBA,Guntis Čivčs,Vidzeme,21,1965,"SIA ""Retail management""",Valdes loceklis
1,Jaunā VIENOTĪBA,Raimonds Čudars,Vidzeme,4,1974,Salaspils novada dome,Domes priekšsēdētājs
1,Jaunā VIENOTĪBA,Mārtiņš Daģis,Zemgale,7,1976,Sia Ecos,Valdes loceklis
1,Jaunā VIENOTĪBA,Dāvis Mārtiņš Daugavietis,Rīga,7,1996,Eiropas Parlaments,Deputāta padomnieks
1,Jaunā VIENOTĪBA,Emīls Dālderis,Rīga,33,1993,AS Swedbank,Biznesa analītiķis
1,Jaunā VIENOTĪBA,Ints Dālderis,Vidzeme,7,1971,LR Finanšu ministrija,Finanšu ministra padomnieks
1,Jaunā VIENOTĪBA,Dāvis Dejus,Rīga,29,2001,Students,
1,Jaunā VIENOTĪBA,Inese Didže,Zemgale,11,1959,Dobeles Valsts ģimnāzija,direktore
1,Jaunā VIENOTĪBA,Judīte Dobele,Zemgale,8,1962,Pensionāre,
1,Jaunā VIENOTĪBA,Gunita Draveniece,Zemgale,13,1969,Jelgavas Valsts ģimnāzija,Skolotāja
1,Jaunā VIENOTĪBA,Ilmārs Reinholds Drēziņš,Vidzeme,27,1930,Rīgas valstspilsētas pašvaldības Mājokļu un vides departaments,"Galvenais speciālists - būvniecības tāmētājs, būvinženieris-eksperts"
1,Jaunā VIENOTĪBA,Juris Erts,Latgale,9,1970,Jāņa Eglīša Preiļu Valsts ģimnāzija,"Direktores vietnieks informātikas jautājumos, programmēšanas skolotājs"
1,Jaunā VIENOTĪBA,Mārtiņš Felss,Zemgale,9,1984,LPKS LATRAPS,Aizkraukles-Jēkabpils reģiona vadītājs
1,Jaunā VIENOTĪBA,Arnita Gaiduka,Latgale,6,1980,Balvu profesionālā un vispārizglītojošā vidusskola,"Sabiedrisko attiecību speciālists, angļu valodas skolotāja"
1,Jaunā VIENOTĪBA,Andis Geižāns,Rīga,37,1976,Latvijas Universitātes Informāciju un tehnoloģiju departaments,direktors
1,Jaunā VIENOTĪBA,Alīna Gendele,Latgale,3,1959,Latvijas Republikas Saeima,Deputāte
1,Jaunā VIENOTĪBA,Dmitrijs Golubevs,Rīga,24,1983,SIA X8,Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Jānis Grahoļskis,Kurzeme,7,1964,INGRID D. AS,valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Viktorija Anna Graudiņa,Vidzeme,26,1986,Korporatīvās un vizuālās komunikācijas aģentūra,valdes locekle
1,Jaunā VIENOTĪBA,Lolita Greitāne,Latgale,11,1964,Ludzas Mūzikas pamatskola,Direktore
1,Jaunā VIENOTĪBA,Edgars Jākobsons,Rīga,18,1984,"Sia ""Trafonet""",Vadītājs
1,Jaunā VIENOTĪBA,Andris Jefimovs,Kurzeme,11,1986,Dienvidkurzemes novada pašvaldība,"Domes deputāts,Ugunsdzēsības dienesta vadītājs"
1,Jaunā VIENOTĪBA,Santa Jermičuka,Vidzeme,19,1969,"PA ''Līgatnes Kultūras un tūrisma centrs""",Tūrisma informācijas centra vadītāja un aģentūras direktora p.i.
1,Jaunā VIENOTĪBA,Kristīne Jučkoviča,Rīga,26,1975,Latvijas Farmaceitiskās aprūpes asociācija,izpilddirektore
1,Jaunā VIENOTĪBA,Andrejs Judins,Rīga,3,1970,Latvijas Republikas Saeima,Deputāts
1,Jaunā VIENOTĪBA,Edmunds Jurēvics,Rīga,39,1992,Rīgas valstspilsētas pašvaldība,Rīgas domes priekšsēdētāja vietnieka V.Ķirša padomnieks
1,Jaunā VIENOTĪBA,Inese Kalniņa,Rīga,22,1967,Latvijas Universitate,Docente
1,Jaunā VIENOTĪBA,Irma Kalniņa,Rīga,14,1950,SIA Irmas Kalniņas konsultācija,valdes locekle
1,Jaunā VIENOTĪBA,Zanda Kalniņa-Lukaševica,Rīga,5,1978,LR Ārlietu ministrija,Parlamentārā sekretāre
1,Jaunā VIENOTĪBA,Edvīns Kalviņš,Rīga,28,1949,"Kanādas Tirdzniecības Palāta Latvijā""",Valdes loceklis
1,Jaunā VIENOTĪBA,Arturs Krišjānis Kariņš,Vidzeme,1,1964,Valsts kanceleja,Latvijas Republikas Ministru prezidents
1,Jaunā VIENOTĪBA,Inna Kislina,Kurzeme,8,1966,J.Rozentāla Saldus vēstures un mākslas muzejs,Direktora vietniece
