Vards,Partija,Apgabals,Numurs,Plusi,Minusi,Balsis,Vieta
Hosams Abu Meri,Jaunā VIENOTĪBA,Vidzeme,29,7 874,5 945,63 414,4
Arvils Ašeradens,Jaunā VIENOTĪBA,Kurzeme,1,4 057,1 380,21 556,1
Uldis Augulis,Zaļo un Zemnieku savienība,Kurzeme,1,4 565,854,27 941,1
Skaidrīte Ābrama,"""PROGRESĪVIE""",Rīga,4,3 635,688,29 828,4
Česlavs Batņa,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Vidzeme,8,2 546,1 876,33 748,4
Raimonds Bergmanis,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Vidzeme,2,10 094,1 971,41 201,1
Inga Bērziņa,Jaunā VIENOTĪBA,Kurzeme,2,3 418,1 030,21 267,2
Andris Bērziņš,Zaļo un Zemnieku savienība,Zemgale,3,2 898,1 206,26 899,2
Anita Brakovska,Zaļo un Zemnieku savienība,Latgale,3,2 007,852,17 312,3
Augusts Brigmanis,Zaļo un Zemnieku savienība,Rīga,2,1 894,941,17 324,2
Kaspars Briškens,"""PROGRESĪVIE""",Vidzeme,1,4 777,360,20 008,1
Oļegs Burovs,LATVIJA PIRMAJĀ VIETĀ,Rīga,2,4 393,2 672,27 239,3
Artūrs Butāns,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Kurzeme,2,1 513,542,12 739,2
Andrejs Ceļapīters,Jaunā VIENOTĪBA,Vidzeme,9,3 072,2 590,61 967,6
Edmunds Cepurītis,"""PROGRESĪVIE""",Rīga,6,3 261,668,29 474,5
Anda Čakša,Jaunā VIENOTĪBA,Zemgale,2,4 740,2 118,26 799,1
Raimonds Čudars,Jaunā VIENOTĪBA,Vidzeme,4,2 928,2 423,61 990,5
Svetlana Čulkova,"Politiskā partija ""Stabilitātei!""",Rīga,4,3 426,247,30 351,2
Mārtiņš Daģis,Jaunā VIENOTĪBA,Zemgale,7,1 491,1 203,24 465,3
Gundars Daudze,Zaļo un Zemnieku savienība,Kurzeme,3,3 663,862,27 031,2
Dāvis Mārtiņš Daugavietis,Jaunā VIENOTĪBA,Rīga,7,2 556,2 511,61 182,6
Atis Deksnis,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Kurzeme,6,3 123,1 270,27 182,3
Jānis Dombrava,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme,3,6 015,1 831,34 045,3
Raivis Dzintars,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme,2,9 736,1 650,37 947,1
Mārtiņš Felss,Jaunā VIENOTĪBA,Zemgale,9,1 605,1 134,24 648,2
Jānis Grasbergs,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme,6,2 323,996,31 188,4
Glorija Grevcova,"Politiskā partija ""Stabilitātei!""",Vidzeme,2,2 708,76,10 610,1
Ilze Indriksone,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Kurzeme,1,2 912,532,14 148,1
Iļja Ivanovs,"Politiskā partija ""Stabilitātei!""",Latgale,7,4 133,291,24 476,4
Juris Jakovins,Zaļo un Zemnieku savienība,Vidzeme,22,2 187,1 053,32 845,2
Mārcis Jencītis,LATVIJA PIRMAJĀ VIETĀ,Rīga,21,2 632,702,27 448,2
Andrejs Judins,Jaunā VIENOTĪBA,Rīga,3,10 689,2 487,69 339,2
Igors Judins,"Politiskā partija ""Stabilitātei!""",Rīga,5,2 858,250,29 780,4
Inese Kalniņa,Jaunā VIENOTĪBA,Rīga,22,1 343,1 725,60 755,11
Irma Kalniņa,Jaunā VIENOTĪBA,Rīga,14,3 142,2 441,61 838,4
Zanda Kalniņa-Lukaševica,Jaunā VIENOTĪBA,Rīga,5,4 676,4 496,61 317,5
Arturs Krišjānis Kariņš,Jaunā VIENOTĪBA,Vidzeme,1,35 013,2 340,94 158,1
Aleksandrs Kiršteins,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga,12,2 997,1 412,22 785,4
Jefimijs Klementjevs,"Politiskā partija ""Stabilitātei!""",Rīga,7,2 790,264,29 698,5
Līga Kļaviņa,Zaļo un Zemnieku savienība,Zemgale,2,2 400,1 080,26 527,3
Rihards Kols,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga,3,4 159,1 168,24 191,2
Dmitrijs Kovaļenko,"Politiskā partija ""Stabilitātei!""",Zemgale,2,1 153,105,4 945,1
Līga Kozlovska,Zaļo un Zemnieku savienība,Latgale,2,2 665,916,17 906,2
Rihards Kozlovskis,Jaunā VIENOTĪBA,Latgale,1,1 520,627,8 640,1
Agnese Krasta,Jaunā VIENOTĪBA,Rīga,11,1 477,1 792,60 822,10
Armands Krauze,Zaļo un Zemnieku savienība,Vidzeme,1,5 195,1 084,35 822,1
Kristaps Krištopans,LATVIJA PIRMAJĀ VIETĀ,Rīga,23,2 215,754,26 979,4
Vilis Krištopans,LATVIJA PIRMAJĀ VIETĀ,Latgale,1,2 946,237,9 968,1
Māris Kučinskis,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Kurzeme,1,5 781,2 841,28 269,1
Andris Kulbergs,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Rīga,4,2 919,826,22 606,3
Gunārs Kūtris,Zaļo un Zemnieku savienība,Rīga,1,2 591,524,18 438,1
Ainars Latkovskis,Jaunā VIENOTĪBA,Vidzeme,3,9 596,1 981,69 100,2
Linda Liepiņa,LATVIJA PIRMAJĀ VIETĀ,Vidzeme,1,2 366,353,15 486,2
Lauris Lizbovskis,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Rīga,11,1 946,1 107,21 352,4
Inese Lībiņa-Egnere,Jaunā VIENOTĪBA,Rīga,2,8 640,2 609,67 168,3
Ingmārs Līdaka,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Zemgale,3,3 645,1 427,18 236,1
Nataļja Marčenko-Jodko,"Politiskā partija ""Stabilitātei!""",Rīga,2,3 408,258,30 322,3
Linda Matisone,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Kurzeme,2,3 247,1 264,27 312,2
Kaspars Melnis,Zaļo un Zemnieku savienība,Latgale,1,3 308,794,18 671,1
Daiga Mieriņa,Zaļo un Zemnieku savienība,Vidzeme,2,2 084,1 024,32 771,3
Uģis Mitrevics,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme,1,8 018,1 451,36 428,2
Ināra Mūrniece,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga,1,5 820,1 794,25 226,1
Antoņina Ņenaševa,"""PROGRESĪVIE""",Rīga,1,5 718,2 303,30 296,3
Jānis Patmalnieks,Jaunā VIENOTĪBA,Rīga,12,1 846,2 096,60 887,9
Ramona Petraviča,LATVIJA PIRMAJĀ VIETĀ,Kurzeme,1,1 664,237,6 334,1
Viktorija Pleškāne,"Politiskā partija ""Stabilitātei!""",Latgale,1,6 860,193,27 301,1
Viktors Pučka,"Politiskā partija ""Stabilitātei!""",Latgale,2,4 770,376,25 028,2
Nauris Puntulis,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga,2,3 674,1 864,23 010,3
Igors Rajevs,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Rīga,3,4 887,1 128,24 272,1
Anna Rancāne,Jaunā VIENOTĪBA,Latgale,2,1 346,627,8 466,2
