Saraksts,Partija,Vards,Gender,Apgabals,Numurs,Gads,DarbaVieta,Amats
1,Jaunā VIENOTĪBA,Hosams Abu Meri,Male,Vidzeme,29,1974,SIA AMH,gastroenterologs- endoskopists
1,Jaunā VIENOTĪBA,Arvils Ašeradens,Male,Kurzeme,1,1962,Latvijas Republikas Saeima,Deputāts
1,Jaunā VIENOTĪBA,Imants Babris,Male,Latgale,16,1963,Preiļu novada Bērnu un jauniešu sporta skola,Futbola treneris
1,Jaunā VIENOTĪBA,Viktorija Baire,Female,Vidzeme,10,1982,Ķekavas novada dome,deputāte
1,Jaunā VIENOTĪBA,Normunds Balabka,Male,Rīga,19,1973,Ropažu novada pašvaldība,Ulbrokas vidusskolas direktors
1,Jaunā VIENOTĪBA,Oskars Baltais,Male,Rīga,36,1995,Bezdarbnieks,
1,Jaunā VIENOTĪBA,Andis Bāliņš,Male,Kurzeme,9,1992,"MV Latvia, SIA",Veikala vadītājs
1,Jaunā VIENOTĪBA,Iveta Benhena-Bēkena,Female,Rīga,8,1986,Latvijas Republikas Saeima,Deputāts
1,Jaunā VIENOTĪBA,Inga Bērziņa,Female,Kurzeme,2,1963,Kuldīgas novada dome,Priekšsēdētāja
1,Jaunā VIENOTĪBA,Marija Briška,Female,Latgale,12,1952,Latgales reģionālā pensionāru apvienība,priekšsēdētājas vietniece
1,Jaunā VIENOTĪBA,Didzis Brūklītis,Male,Rīga,34,1982,Ekonomikas ministrija,Nodaļas vadītājs
1,Jaunā VIENOTĪBA,Maruta Castrova,Female,Latgale,10,1959,"Balvu novada pašvaldība, Balvu pilsētas pārvalde",Balvu pilsētas pārvaldes vadītāja
1,Jaunā VIENOTĪBA,Malda Caune,Female,Vidzeme,13,1958,Salaspils novada dome,priekšsēdētāja vietniece sociālajos un sporta jautājumos
1,Jaunā VIENOTĪBA,Andrejs Ceļapīters,Male,Vidzeme,9,1964,Madonas novada pašvaldība,Deputāts
1,Jaunā VIENOTĪBA,Miķelis Cinis,Male,Rīga,30,1993,Ādažu novada pašvaldība,Teritorijas plānotājs
1,Jaunā VIENOTĪBA,Ingrīda Circene,Female,Kurzeme,6,1956,SIA Dziedniecība,Galvenais ārsts ginekoloģijā
1,Jaunā VIENOTĪBA,Anda Čakša,Female,Zemgale,2,1974,Latvijas Republikas Saeima,Deputāte
1,Jaunā VIENOTĪBA,Lolita Čigāne,Female,Rīga,9,1973,EDSO (Eiropas Drošības un Sadarbības organizācija),Misiju vadītāja
1,Jaunā VIENOTĪBA,Guntis Čivčs,Male,Vidzeme,21,1965,"SIA ""Retail management""",Valdes loceklis
1,Jaunā VIENOTĪBA,Raimonds Čudars,Male,Vidzeme,4,1974,Salaspils novada dome,Domes priekšsēdētājs
1,Jaunā VIENOTĪBA,Mārtiņš Daģis,Male,Zemgale,7,1976,Sia Ecos,Valdes loceklis
1,Jaunā VIENOTĪBA,Dāvis Mārtiņš Daugavietis,Male,Rīga,7,1996,Eiropas Parlaments,Deputāta padomnieks
