Saraksts,Partija,Vards,Ievelets,Gender,Apgabals,Numurs,Gads,DarbaVieta,Amats,Ievelets
1,Jaunā VIENOTĪBA,Hosams Abu Meri,true,Male,Vidzeme,29,1974.0,SIA AMH,gastroenterologs- endoskopists,true
1,Jaunā VIENOTĪBA,Arvils Ašeradens,true,Male,Kurzeme,1,1962.0,Latvijas Republikas Saeima,Deputāts,true
1,Jaunā VIENOTĪBA,Imants Babris,false,Male,Latgale,16,1963.0,Preiļu novada Bērnu un jauniešu sporta skola,Futbola treneris,false
1,Jaunā VIENOTĪBA,Viktorija Baire,false,Female,Vidzeme,10,1982.0,Ķekavas novada dome,deputāte,false
1,Jaunā VIENOTĪBA,Normunds Balabka,false,Male,Rīga,19,1973.0,Ropažu novada pašvaldība,Ulbrokas vidusskolas direktors,false
1,Jaunā VIENOTĪBA,Oskars Baltais,false,Male,Rīga,36,1995.0,Bezdarbnieks,,false
1,Jaunā VIENOTĪBA,Andis Bāliņš,false,Male,Kurzeme,9,1992.0,"MV Latvia, SIA",Veikala vadītājs,false
1,Jaunā VIENOTĪBA,Iveta Benhena-Bēkena,false,Female,Rīga,8,1986.0,Latvijas Republikas Saeima,Deputāts,false
1,Jaunā VIENOTĪBA,Inga Bērziņa,true,Female,Kurzeme,2,1963.0,Kuldīgas novada dome,Priekšsēdētāja,true
1,Jaunā VIENOTĪBA,Marija Briška,false,Female,Latgale,12,1952.0,Latgales reģionālā pensionāru apvienība,priekšsēdētājas vietniece,false
1,Jaunā VIENOTĪBA,Didzis Brūklītis,false,Male,Rīga,34,1982.0,Ekonomikas ministrija,Nodaļas vadītājs,false
1,Jaunā VIENOTĪBA,Maruta Castrova,false,Female,Latgale,10,1959.0,"Balvu novada pašvaldība, Balvu pilsētas pārvalde",Balvu pilsētas pārvaldes vadītāja,false
1,Jaunā VIENOTĪBA,Malda Caune,false,Female,Vidzeme,13,1958.0,Salaspils novada dome,priekšsēdētāja vietniece sociālajos un sporta jautājumos,false
1,Jaunā VIENOTĪBA,Andrejs Ceļapīters,true,Male,Vidzeme,9,1964.0,Madonas novada pašvaldība,Deputāts,true
1,Jaunā VIENOTĪBA,Miķelis Cinis,false,Male,Rīga,30,1993.0,Ādažu novada pašvaldība,Teritorijas plānotājs,false
1,Jaunā VIENOTĪBA,Ingrīda Circene,false,Female,Kurzeme,6,1956.0,SIA Dziedniecība,Galvenais ārsts ginekoloģijā,false
1,Jaunā VIENOTĪBA,Anda Čakša,true,Female,Zemgale,2,1974.0,Latvijas Republikas Saeima,Deputāte,true
1,Jaunā VIENOTĪBA,Lolita Čigāne,false,Female,Rīga,9,1973.0,EDSO (Eiropas Drošības un Sadarbības organizācija),Misiju vadītāja,false
1,Jaunā VIENOTĪBA,Guntis Čivčs,false,Male,Vidzeme,21,1965.0,"SIA ""Retail management""",Valdes loceklis,false
1,Jaunā VIENOTĪBA,Raimonds Čudars,true,Male,Vidzeme,4,1974.0,Salaspils novada dome,Domes priekšsēdētājs,true
1,Jaunā VIENOTĪBA,Mārtiņš Daģis,true,Male,Zemgale,7,1976.0,Sia Ecos,Valdes loceklis,true
1,Jaunā VIENOTĪBA,Dāvis Mārtiņš Daugavietis,true,Male,Rīga,7,1996.0,Eiropas Parlaments,Deputāta padomnieks,true
1,Jaunā VIENOTĪBA,Emīls Dālderis,false,Male,Rīga,33,1993.0,AS Swedbank,Biznesa analītiķis,false
1,Jaunā VIENOTĪBA,Ints Dālderis,false,Male,Vidzeme,7,1971.0,LR Finanšu ministrija,Finanšu ministra padomnieks,false
1,Jaunā VIENOTĪBA,Dāvis Dejus,false,Male,Rīga,29,2001.0,Students,,false
1,Jaunā VIENOTĪBA,Inese Didže,false,Female,Zemgale,11,1959.0,Dobeles Valsts ģimnāzija,direktore,false
1,Jaunā VIENOTĪBA,Judīte Dobele,false,Female,Zemgale,8,1962.0,Pensionāre,,false
1,Jaunā VIENOTĪBA,Gunita Draveniece,false,Female,Zemgale,13,1969.0,Jelgavas Valsts ģimnāzija,Skolotāja,false
1,Jaunā VIENOTĪBA,Ilmārs Reinholds Drēziņš,false,Male,Vidzeme,27,1930.0,Rīgas valstspilsētas pašvaldības Mājokļu un vides departaments,"Galvenais speciālists - būvniecības tāmētājs, būvinženieris-eksperts",false
1,Jaunā VIENOTĪBA,Juris Erts,false,Male,Latgale,9,1970.0,Jāņa Eglīša Preiļu Valsts ģimnāzija,"Direktores vietnieks informātikas jautājumos, programmēšanas skolotājs",false
1,Jaunā VIENOTĪBA,Mārtiņš Felss,true,Male,Zemgale,9,1984.0,LPKS LATRAPS,Aizkraukles-Jēkabpils reģiona vadītājs,true
1,Jaunā VIENOTĪBA,Arnita Gaiduka,false,Female,Latgale,6,1980.0,Balvu profesionālā un vispārizglītojošā vidusskola,"Sabiedrisko attiecību speciālists, angļu valodas skolotāja",false
1,Jaunā VIENOTĪBA,Andis Geižāns,false,Male,Rīga,37,1976.0,Latvijas Universitātes Informāciju un tehnoloģiju departaments,direktors,false
1,Jaunā VIENOTĪBA,Alīna Gendele,false,Female,Latgale,3,1959.0,Latvijas Republikas Saeima,Deputāte,false
1,Jaunā VIENOTĪBA,Dmitrijs Golubevs,false,Male,Rīga,24,1983.0,SIA X8,Valdes priekšsēdētājs,false
1,Jaunā VIENOTĪBA,Jānis Grahoļskis,false,Male,Kurzeme,7,1964.0,INGRID D. AS,valdes priekšsēdētājs,false
1,Jaunā VIENOTĪBA,Viktorija Anna Graudiņa,false,Female,Vidzeme,26,1986.0,Korporatīvās un vizuālās komunikācijas aģentūra,valdes locekle,false
1,Jaunā VIENOTĪBA,Lolita Greitāne,false,Female,Latgale,11,1964.0,Ludzas Mūzikas pamatskola,Direktore,false
1,Jaunā VIENOTĪBA,Edgars Jākobsons,false,Male,Rīga,18,1984.0,"Sia ""Trafonet""",Vadītājs,false
1,Jaunā VIENOTĪBA,Andris Jefimovs,false,Male,Kurzeme,11,1986.0,Dienvidkurzemes novada pašvaldība,"Domes deputāts,Ugunsdzēsības dienesta vadītājs",false
1,Jaunā VIENOTĪBA,Santa Jermičuka,false,Female,Vidzeme,19,1969.0,"PA ''Līgatnes Kultūras un tūrisma centrs""",Tūrisma informācijas centra vadītāja un aģentūras direktora p.i.,false
1,Jaunā VIENOTĪBA,Kristīne Jučkoviča,false,Female,Rīga,26,1975.0,Latvijas Farmaceitiskās aprūpes asociācija,izpilddirektore,false
1,Jaunā VIENOTĪBA,Andrejs Judins,true,Male,Rīga,3,1970.0,Latvijas Republikas Saeima,Deputāts,true
1,Jaunā VIENOTĪBA,Edmunds Jurēvics,false,Male,Rīga,39,1992.0,Rīgas valstspilsētas pašvaldība,Rīgas domes priekšsēdētāja vietnieka V.Ķirša padomnieks,false
1,Jaunā VIENOTĪBA,Inese Kalniņa,true,Female,Rīga,22,1967.0,Latvijas Universitate,Docente,true
1,Jaunā VIENOTĪBA,Irma Kalniņa,true,Female,Rīga,14,1950.0,SIA Irmas Kalniņas konsultācija,valdes locekle,true
1,Jaunā VIENOTĪBA,Zanda Kalniņa-Lukaševica,true,Female,Rīga,5,1978.0,LR Ārlietu ministrija,Parlamentārā sekretāre,true
1,Jaunā VIENOTĪBA,Edvīns Kalviņš,false,Male,Rīga,28,1949.0,"Kanādas Tirdzniecības Palāta Latvijā""",Valdes loceklis,false
1,Jaunā VIENOTĪBA,Arturs Krišjānis Kariņš,true,Male,Vidzeme,1,1964.0,Valsts kanceleja,Latvijas Republikas Ministru prezidents,true
1,Jaunā VIENOTĪBA,Inna Kislina,false,Female,Kurzeme,8,1966.0,J.Rozentāla Saldus vēstures un mākslas muzejs,Direktora vietniece,false
1,Jaunā VIENOTĪBA,Nellija Kleinberga,false,Female,Kurzeme,15,1964.0,SIA Saldus medicīnas centrs,valdes priekšsēdētāja,false
1,Jaunā VIENOTĪBA,Sergejs Kovaļovs,false,Male,Zemgale,12,1975.0,Latvijas Futbola federācija,Viceprezidents,false
1,Jaunā VIENOTĪBA,Rihards Kozlovskis,true,Male,Latgale,1,1969.0,Latvijas Republikas Saeima,deputāts,true
