Apgabals,Struktūrvienība,Party,Name,Gender,Number,Pluses,Minuses
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Arvils Ašeradens,Male,1,4057,1380
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Inga Bērziņa,Female,2,3418,1030
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Guntars Račs,Male,3,2544,2751
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Kārlis Strautiņš,Male,4,1099,889
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Ģirts Valdis Kristovskis,Male,5,2506,2171
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Ingrīda Circene,Female,6,2956,1601
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Jānis Grahoļskis,Male,7,758,1032
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Inna Kislina,Female,8,722,1193
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Andis Bāliņš,Male,9,594,981
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Dace Šēle,Female,10,942,934
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Andris Jefimovs,Male,11,580,1123
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Edgars Lūks,Male,12,665,1054
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Intars Zēns,Male,13,603,950
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Māris Rozenbergs,Male,14,866,907
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Nellija Kleinberga,Female,15,1595,1249
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Jeļena Osipova,Female,1,786,28
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Igors Glazunovs,Male,2,314,39
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Aleksandrs Bērziņš,Male,3,289,42
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Tamāra Šustova,Female,4,262,40
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Romans Rodionovs,Male,5,279,43
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Valentīna Babaka,Female,6,250,46
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Andrejs Ostapenko,Male,7,284,37
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Vinsenta Daņiļceva,Female,8,236,44
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Oļegs Ivanovs,Male,9,268,41
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Sergejs Muļivanovs,Male,10,250,44
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Vladislavs Aleksandrovs,Male,11,247,46
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Uldis Augulis,Male,1,4565,854
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Jānis Vucāns,Male,2,2809,691
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Gundars Daudze,Male,3,3663,862
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Reinis Doniņš,Male,4,2296,798
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Agija Kaunese,Female,5,1857,767
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Rūdolfs Punkstiņš,Male,6,1691,800
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Ģirts Štekerhofs,Male,7,2525,891
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Juris Goldmanis,Male,8,1992,711
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Andris Valerts,Male,9,2080,684
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Aija Staškova-Ciemīte,Female,10,1747,750
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Ilze Buņķe,Female,11,2179,799
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Dainis Kūla,Male,12,2308,935
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Arvis Kalniņš,Male,13,1694,685
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Kristīne Vāgnere-Davidova,Female,14,2377,792
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Uldis Boitmanis,Male,15,2424,1332
Kurzeme,Kurzeme,4. TAUTAS KALPI LATVIJAI,Normunds Zernis,Male,1,224,59
Kurzeme,Kurzeme,4. TAUTAS KALPI LATVIJAI,Malda Šteinberga,Female,2,127,54
Kurzeme,Kurzeme,4. TAUTAS KALPI LATVIJAI,Ilze Kronberga,Female,3,265,33
Kurzeme,Kurzeme,4. TAUTAS KALPI LATVIJAI,Dāvids Zālītis,Male,4,207,36
Kurzeme,Kurzeme,4. TAUTAS KALPI LATVIJAI,Anna Rungule,Female,5,110,50
Kurzeme,Kurzeme,4. TAUTAS KALPI LATVIJAI,Lelde Povšaka,Female,6,104,63
Kurzeme,Kurzeme,4. TAUTAS KALPI LATVIJAI,Ilona Ozola,Female,7,109,56
Kurzeme,Kurzeme,4. TAUTAS KALPI LATVIJAI,Uģis Gertners,Male,8,131,43
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Inga Gluzda,Female,1,456,66
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Dāvids Kļaviņš,Male,2,274,70
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Oskars Gertners,Male,3,239,72
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Jūlija Rjazanova,Female,4,439,72
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Jānis Blaus,Male,5,212,73
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Egija Romanovska,Female,6,223,65
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Sandra Briķe,Female,7,260,53
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Juris Brigmanis-Briģis,Male,8,214,68
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Sergejs Borisjuks,Male,9,236,78
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Gita Priede,Female,10,198,63
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Vilnis Kurpe,Male,11,174,75
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Aivars Ošenieks,Male,1,25,4
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Elita Višņevska,Female,2,13,2
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Laima Ošeniece,Female,3,14,5
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Romans Moisejevs,Male,4,13,3
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Andis Mārtiņš Ošenieks,Male,5,14,3
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Valērijs Agešins,Male,1,1126,54
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Helēna Geriloviča,Female,2,381,86
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Pāvels Sereda,Male,3,384,75
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Gaļina Skorobogatova,Female,4,295,78
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Pāvels Goroškovs,Male,5,214,77
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Kristīna Jablonska,Female,6,191,73
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Sergejs Dikterjovs,Male,7,195,89
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Indulis Jankovskis,Male,8,202,84
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Vitalijs Trusevičs,Male,9,187,115
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Sergejs Galaveckis,Male,10,202,85
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Jekaterina Žeigure,Female,11,161,85
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Artūrs Stepčenko,Male,12,172,84
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Kristīne Kleinšmite,Female,13,166,87
