,1. Jaunā VIENOTĪBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2. ""Latvijas Krievu savienība""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. Zaļo un Zemnieku savienība,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. TAUTAS KALPI LATVIJAI,,,,,,,,,,,,,,,,,,,,,,"5. ""SUVERĒNĀ VARA""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6. ""Kristīgi Progresīvā Partija""",,,,,,,,,,"7. ""Saskaņa"" sociāldemokrātiskā partija",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8. Politiskā partija ""Stabilitātei!""",,,,,,,,,,,,,,,,,,,,"9. Politiskā partija ""Tautas varas spēks""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10. Partija ""Vienoti Latvijai""",,,,,,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12. LATVIJA PIRMAJĀ VIETĀ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13. Konservatīvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14. Politiskā partija ""KATRAM UN KATRAI""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15. ""PROGRESĪVIE""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16. Attīstībai/Par!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17. ""Apvienība Latvijai""",,,,,,,,,,,,,,,,,,,,,,,,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19. Politiskā partija ""Republika""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rihards Kozlovskis,,Anna Rancāne,,Alīna Gendele,,Maruta Plivda,,Dainis Platacis,,Arnita Gaiduka,,Jaroslavs Volkovs,,Atis Zakatistovs,,Juris Erts,,Maruta Castrova,,Lolita Greitāne,,Marija Briška,,Artūrs Tjušs,,Aleksandrs Mironovs,,Andris Valainis,,Imants Babris,,Jekaterīna Stehnovska-Slavska,,Dmitrijs Ribņikovs,,Juris Aleksejevs,,Valērijs Petrovs,,Arita Starovoitova,,Vladimirs Pedāns,,Aļona Raščevska,,Andrejs Larionovs,,Igors Iļjins,,Artjoms Bobiļevs,,Ļubova Šļapkova,,Sergejs Lavrenovs,,Vladislavs Tarasovs,,Arvīds Rubīns,,Oļegs Gončarovs,,Andrejs Pokuļs,,Kaspars Melnis,,Līga Kozlovska,,Anita Brakovska,,Reinis Līcis,,Valdis Maslovskis,,Guntis Kalniņš,,Sandra Viškure,,Viktorija Lene,,Daiga Ceipiniece,,Āris Elsts,,Ilva Mašinska,,Staņislavs Šķesters,,Edgars Abrams,,Jevdokija Šlivka,,Euģēnijs Upenieks,,Andrejs Kindzulis,,Aivars Smans,,Žanna Kulakova,,Jāzeps Uļjanovs,,Ludmila Marģeviča,,Elizabete Viļuma-Gražule,,Aivars Ratnieks,,Sergejs Mančenko,,Vija Salmane,,Antonijs Jegorovs,,Jānis Šleiers,,Romans Samuļs,,Vjačeslavs Stepaņenko,,Ernests Jurkāns,,Grigorijs Zubarevs,,Janušs Levickis,,Daniels Buko,,Arvīds Žurzdins,,Ņikita Ančipanovs,,Kristīne Binduka,,Ivans Romanovs,,Antons Paurs,,Genadijs Lobovs,,Edgars Šilins,,Pāvels Titovs,,Kristīne Pauliņa,,Ērika Rozenberga,,Jānis Arhipenko,,Ēriks Flaumanis,,Andris Feldmanis,,Tatjana Švāne,,Žanna Ivanova,,Ineta Žīgure,,Regīna Ločmele,,Jānis Krišāns,,Ivans Ribakovs,,Anatolijs Gržibovskis,,Edgars Kucins,,Raimonds Rubiks,,Jekaterina Ivanova,,Jānis Tutins,,Aleksandrs Jakimovs,,Andrejs Bondarevs,,Viktors Jasiņavičs,,Modris Karpovs,,Inese Plesņa,,Gints Grīslis,,Nadežda Hļebņikova,,Jānis Urbanovičs,,Viktorija Pleškāne,,Viktors Pučka,,Dainis Močs,,Ivars Caunītis-Braslis,,Jeļena Kļaviņa,,Jekaterina Dorošķeviča,,Iļja Ivanovs,,Nadežda Tretjakova,,Aigars Koloda,,Arnolds Jancens,,Jurijs Ragozins,,Jevgeņijs Ševčenko,,Guntis Mičuls,,Oļgerts Cjunskis,,Jānis Vērtulis,,Laura Gailīte,, ,,Jūlija Koļesņikova,,Jānis Kuzins,,Artūrs Leitāns,,Ingars Karkovskis,,Valērijs Oščenkovs,,Vladimirs Šilovs,,Jānis Ozoliņš,,Raitis Dzerkalis,,Mārīte Vingre,,Sandra Dzene,,Sanita Vanaga,,Mārtiņš Osis,,Edmunds Teirumnieks,,Marika Zeimule,,Aivars Broks,,Aldis Ločmelis,,Pēteris Rožinskis,,Aija Mežale,,Māris Igavens,,Oskars Babris,,Janīna Kursīte-Pakule,,Andrejs Faibuševičs,,Anna Zīmele,,Tatjana Kokina,,Andris Čevers,,Maija Spūle,,Ilga Pokšāne,,Jāzeps Korsaks,,Vilis Krištopans,,Ilze Stobova,,Sabīne Šņepste,,Imants Jānis Bekešs,,Iļja Klimanovs,,Juris Butēvics,,Paulis Jonikāns,,Jegors Gončarovs,,Vladimirs Novikovs,,Vitālijs Delvers,,Igors Bēniņš,,Vladimirs Pučka,,Edgars Kvjatkovskis,,Aleksandrs Jozāns,,Jānis Valtervitenheims,,Raimonds Nipers,,Aldis Bukšs,,Juris Rancāns,,Guntis Rasims,,Dmitrijs Zalbovičs,,Rudīte Krūmiņa,,Voldemārs Platacis,,Diāna Saksone,,Iveta Šeršņeva,,Jānis Auziņš,,Viktors Marjuničs,,Jānis Jakušonoks,,Iveta Katelo,,Aldis Brūvers,,Ēvalds Butāns,,Olga Lubāne,,Pēteris Aglonietis,,Igors Prelatovs,,Diāna Gribonika,,Jūlija Ligalova,,Igors Ignatjevs,,Jānis Klaužs,,Zigfrīds Īrists,,Vitālijs Jakovļevs,,Andris Spūlis,,Gunta Sirjeva,,Inga Tuhbatova,,Romāns Galičs,,Jānis Mileiko,,Sergejs Pirogovs,,Georgijs Stoļerovs,,Māris Erdmanis-Hermanis,,Zane Lunte,,Leila Rasima,,Māris Indulis Graudiņš,,Jeļena Danilova,,Jānis Zeltiņš,,Marika Kacare,,Edgars Staltmanis,,Aija Mežale,,Toms Trasūns,,Kaspars Ločmelis,,Kristīne Buldure,,Laimons Timma,,Kristīne Doroško,,Maija Hartmane,,Liene Muste,,Aina Magamedova,,Kristafers Zeiļuks,,Juris Pūce,,Jānis Lāčplēsis,,Janīna Kursīte,,Andris Vaivods,,Iveta Mietule,,Georgijs Jevsikovs,,Inta Brence,,Jānis Dukšinskis,,Lauris Pastars,,Pēteris Vinķelis,,Tālis Korlašs,,Aleksandrs Jevtušoks,,Rolands Gradkovskis,,Antra Roskoša,,Arvis Lancmanis,,Andris Slišāns,,Iļja Zļenko,,Edmunds Visockis,,Agita Pavloviča,,Aleksandrs Bogdanovs,,Marks Medvedevs,,Kaspars Skrindževskis,,Larisa Sergijeviča,,Viktorija Petkune,,Jurijs Bikuļčs,,Marija Petkune,,Oļegs Pavlovičs,,Jānis Sprukuls,,Juris Viļums,,Ivars Šķinčs,,Juris Guntis Vjakse,,Jānis Trupovnieks,,Līga Bulmeistere,,Valdis Labinskis,,Andris Bačuks,,Velta Ļubkina,,Juris Saukāns,,Jānis Kudiņš,,Kristaps Averjanovs,,Aivars Trūlis,,Aivars Bačkurs,,Sandra Vorkale,,Gundega Rancāne,,Līvija Plavinska,,Jevgēnijs Koršenkovs,,Ilga Zalāne,,Nataļja Seļivanova-Fjodorova,,Juris Borskis,,Jānis Zeiļa,,Aleksandrs Tolstovs,,Iveta Grebeža,,Vera Komarova,,Renāte Zeiļa,,Nadežda Krasiļņikova,,Anna Lūzeniece,,Madara Benga,,Skaidrīte Melne,,Iļja Svetlovs,,Dmitrijs Krasiļņikovs,,Igors Verbickis,
,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,
Struktūrvienība,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-
Latgale,1520,627,1346,627,1145,528,1072,758,414,620,279,583,246,808,523,1155,755,511,354,646,482,531,305,678,285,573,248,815,527,553,499,616,2166,84,1613,94,1273,93,1329,91,1015,98,909,108,941,96,1092,74,1019,88,833,94,897,93,994,81,922,83,843,108,930,83,870,102,3308,794,2665,916,2007,852,1421,894,1978,865,1181,867,1153,940,1339,883,1056,880,1172,839,888,866,1617,904,944,871,987,1030,1242,860,1352,869,419,46,236,54,154,47,99,55,167,39,160,40,98,56,101,51,98,53,123,49,119,51,2516,32,694,130,775,79,549,100,526,102,546,88,540,90,564,88,578,72,470,86,532,76,554,96,498,89,508,88,486,86,455,87,32,9,32,4,25,6,35,7,24,7,4005,366,1478,447,2805,391,2057,400,2018,381,1609,420,1558,382,1503,429,1575,393,1143,358,1095,378,1102,367,1028,401,938,400,1249,379,2172,486,6860,193,4770,376,3752,295,3511,328,3903,312,4073,273,4133,291,4103,259,3431,335,3348,345,759,29,527,30,395,40,377,37,374,38,374,38,0,0,460,37,370,46,365,38,342,41,396,41,392,38,372,40,346,41,365,44,38,13,34,12,34,14,1630,476,597,528,1214,458,1231,407,751,512,502,537,372,535,330,504,1233,515,403,567,264,511,220,592,225,531,342,529,476,544,1146,493,2946,237,831,289,1099,304,801,356,616,377,610,283,460,304,649,308,614,331,528,317,441,323,484,340,532,310,459,295,400,333,562,343,958,145,587,221,709,235,333,253,304,232,218,250,236,226,159,253,313,220,192,244,157,233,137,244,150,231,143,242,146,234,229,233,1849,190,549,171,514,192,536,179,604,212,435,170,476,176,457,155,432,186,440,184,426,175,468,165,449,181,483,196,409,190,416,181,1014,83,339,98,311,125,322,87,256,90,182,101,287,90,216,102,293,105,239,118,164,105,179,101,213,97,182,99,168,127,199,123,836,628,1007,529,974,451,883,355,317,408,303,501,274,441,482,456,492,385,138,476,228,444,260,491,227,427,119,430,123,433,330,405,23,5,16,5,15,5,15,5,15,4,19,6,10,9,13,8,8,8,10,6,10,8,22,7,1611,566,689,529,621,543,736,452,390,460,390,533,449,459,320,517,442,424,563,405,349,463,390,469,293,463,366,435,464,452,675,423,504,89,338,81,299,83,305,75,284,82,243,100,267,68,249,77,254,84,221,105,269,68,235,78,264,82,261,85,236,106,241,87
Daugavpils,163,28,134,26,54,21,58,37,44,26,30,19,28,36,56,59,41,22,30,26,29,23,33,28,30,25,31,35,45,27,34,30,1010,30,735,38,590,30,527,23,438,36,401,38,425,36,463,24,470,31,385,29,411,29,461,27,407,27,383,38,414,28,378,35,742,50,409,72,376,68,340,63,318,70,287,72,286,83,290,79,270,79,269,77,247,72,288,74,270,74,267,81,285,75,276,73,75,10,93,13,50,12,25,11,22,9,28,9,30,8,25,12,29,9,27,12,27,12,1162,8,295,30,382,27,260,40,234,44,221,37,247,34,238,32,250,26,208,29,255,25,222,33,224,34,226,34,220,35,202,31,11,1,9,0,7,1,14,1,7,1,1880,114,608,144,845,149,1301,132,1183,105,632,140,597,126,502,136,555,118,508,116,482,110,446,123,449,130,429,134,517,118,841,166,2752,75,2299,193,1640,104,1541,126,1687,100,1789,102,1833,110,1703,100,1506,126,1499,130,247,2,128,5,99,6,97,5,92,6,97,6,0,0,117,7,92,9,94,4,86,4,107,10,98,4,89,7,86,6,95,8,5,4,5,1,6,2,107,39,58,42,368,15,55,39,46,39,38,36,43,37,39,37,134,35,138,42,31,39,66,40,31,45,31,41,39,40,74,38,613,62,165,79,278,89,228,111,122,77,122,74,106,75,143,77,179,78,208,85,138,89,187,93,127,71,147,69,101,78,108,75,31,9,30,11,30,9,36,9,8,7,10,7,9,7,19,8,10,5,7,8,10,6,16,8,8,7,9,7,10,7,11,7,1198,71,213,58,202,61,245,57,199,65,175,64,209,58,179,59,181,66,177,65,187,58,176,59,199,60,188,55,176,71,177,66,130,8,80,6,72,12,53,7,64,7,44,8,53,7,45,9,55,6,37,13,35,11,38,10,37,10,39,9,33,16,36,14,188,110,620,82,316,56,93,80,54,79,42,89,42,76,296,77,52,61,37,72,28,62,50,72,85,56,34,61,34,66,40,66,8,2,4,3,6,3,5,2,5,0,5,3,4,4,5,4,5,4,4,3,4,3,2,4,246,113,399,79,102,77,76,85,77,76,70,78,62,74,60,81,71,70,216,63,84,71,70,76,53,74,58,70,69,68,71,69,151,11,61,17,77,10,70,17,57,17,45,14,54,14,52,12,53,20,43,19,44,12,44,14,48,20,49,12,49,17,50,14
159. VIENĪBAS NAMS,30,8,25,9,9,10,8,15,5,14,4,11,5,16,5,24,6,10,7,11,5,10,5,11,4,12,5,13,7,13,5,13,62,3,45,3,25,2,35,2,22,4,20,2,27,5,29,1,28,3,20,2,23,3,27,0,22,1,20,5,23,1,21,4,54,5,32,5,30,8,24,7,21,8,19,9,21,9,18,10,16,8,16,9,15,8,21,9,14,12,15,9,17,8,17,8,13,1,19,4,6,2,5,2,5,1,4,2,5,2,5,2,4,2,4,2,5,2,89,2,25,2,31,0,22,3,22,2,16,2,23,2,17,2,16,2,15,2,17,4,15,2,16,2,16,2,15,3,14,2,1,0,1,0,1,0,2,0,1,0,147,9,36,11,64,12,104,9,98,9,45,11,31,10,28,9,27,8,22,8,24,9,19,8,20,9,19,9,23,8,60,8,133,4,123,14,85,3,76,6,89,6,98,5,91,6,86,6,79,9,78,7,16,0,13,0,9,1,9,0,10,1,11,1,0,0,10,0,10,1,10,0,10,0,10,0,11,0,9,1,9,1,9,1,0,0,0,0,0,0,12,8,8,8,64,1,8,9,9,6,7,6,5,5,4,7,21,5,23,4,5,8,13,6,5,7,5,8,6,7,12,6,43,5,9,5,17,5,18,7,6,5,6,5,5,5,10,5,11,6,15,6,7,7,12,7,8,5,12,2,3,5,3,5,7,1,2,3,7,1,3,1,1,1,0,2,0,2,3,2,0,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,97,4,21,6,21,5,22,4,20,3,17,5,18,4,18,5,16,4,18,4,20,4,16,4,20,5,17,5,16,6,16,6,16,1,9,0,5,1,6,0,8,0,4,0,8,0,5,0,6,0,5,0,5,0,6,1,6,0,5,0,5,1,5,0,22,15,61,12,39,7,13,11,6,8,2,6,2,5,31,11,6,4,4,5,2,3,5,6,7,3,4,3,2,5,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,40,8,14,11,7,14,10,14,8,13,6,15,5,16,8,12,33,11,6,15,10,15,6,15,8,11,12,10,10,10,15,1,4,3,7,1,5,2,3,2,1,2,3,2,3,2,3,2,1,3,1,2,1,3,2,3,1,2,2,3,1,2
160. DAUGAVPILS UNIVERSITĀTE,6,2,6,3,2,1,2,3,1,1,1,0,0,2,6,3,2,1,1,1,1,1,1,1,2,1,1,4,3,4,2,1,32,4,26,5,18,3,16,3,13,4,12,3,15,6,17,2,15,4,12,2,14,3,15,3,13,2,12,3,14,1,11,3,25,3,17,3,16,3,14,2,12,3,11,3,9,3,8,5,12,2,10,3,8,3,9,4,9,3,8,4,10,2,9,3,5,2,6,0,2,3,0,2,1,2,1,2,0,1,1,2,2,0,0,2,2,1,39,1,7,3,11,2,6,3,6,4,5,3,6,2,6,4,7,3,5,3,8,2,8,4,6,2,7,4,7,3,7,3,0,0,0,0,0,0,0,0,0,0,82,10,16,6,22,6,55,8,42,4,18,6,14,4,14,7,12,6,12,4,12,4,8,7,9,7,10,8,13,6,22,8,66,8,52,12,42,10,41,11,46,8,42,9,49,11,44,9,41,13,40,12,5,1,2,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,2,1,0,1,0,1,0,0,0,0,0,0,9,4,5,6,35,2,4,6,4,7,2,7,2,9,2,5,11,6,11,4,3,7,5,7,2,8,2,6,3,7,5,6,50,3,13,7,18,8,12,15,8,6,7,7,4,8,8,7,7,6,8,8,7,13,12,7,6,6,11,12,8,8,7,9,0,1,1,2,1,1,1,2,0,2,0,2,0,2,1,3,0,1,0,2,1,2,0,3,0,2,0,2,1,3,1,2,58,3,11,1,9,1,11,1,12,2,9,1,11,1,9,0,9,1,8,1,8,1,8,1,8,1,9,1,11,0,10,0,16,3,14,0,7,3,4,2,3,2,4,2,4,2,5,2,9,2,4,3,4,2,4,2,4,2,5,3,4,2,6,3,14,6,27,11,14,3,6,2,3,4,4,5,3,3,13,7,3,2,4,2,3,1,5,2,5,1,4,1,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,13,7,4,4,4,4,5,4,2,3,2,3,2,3,3,3,19,2,5,2,3,2,2,2,3,2,2,2,4,2,8,2,5,3,4,3,4,2,3,2,2,2,3,2,3,2,3,2,2,2,2,1,2,1,5,2,3,0,2,1,2,0
161. DAUGAVPILS CENTRA VIDUSSKOLA,8,1,6,0,3,0,4,0,6,0,3,0,3,1,4,1,3,1,3,2,3,1,3,2,3,1,3,1,4,2,3,3,65,3,40,4,33,3,29,3,26,2,23,3,26,1,26,1,30,5,24,4,27,2,28,2,25,2,25,3,24,4,23,4,33,2,14,2,14,1,12,3,11,2,10,2,12,2,11,3,9,2,11,2,11,2,11,3,10,2,10,3,12,2,12,3,7,0,6,1,7,0,3,0,2,0,3,0,2,0,4,0,2,1,3,0,5,0,71,0,20,1,30,1,17,2,15,2,15,2,15,1,13,2,16,2,14,2,17,1,14,2,14,2,14,3,16,1,13,2,2,0,2,0,2,0,2,0,2,0,112,5,33,9,45,8,61,10,63,5,36,11,39,10,31,11,35,6,28,8,28,8,29,7,27,8,26,8,31,7,43,12,155,5,117,8,73,6,79,5,83,6,92,6,94,7,90,5,74,7,76,7,20,0,12,1,7,1,8,1,6,1,6,1,0,0,7,2,6,1,6,1,6,1,8,1,9,1,6,1,5,1,5,2,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,27,6,8,3,9,8,14,10,5,6,4,6,4,6,3,6,6,5,6,7,6,7,5,8,5,6,3,6,3,6,4,6,4,0,4,0,3,1,4,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,76,7,17,5,18,4,18,4,15,5,13,5,15,4,14,5,15,4,15,4,15,5,15,4,15,4,16,4,15,5,14,4,5,0,4,0,3,0,3,0,0,1,1,1,2,1,0,1,4,0,1,0,1,1,0,1,1,1,2,0,0,1,1,1,10,8,44,5,24,3,8,6,3,6,4,8,3,6,21,7,5,3,3,7,3,6,4,7,8,5,3,6,4,6,3,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,6,4,13,3,2,1,1,2,4,2,0,2,1,3,1,3,1,2,4,4,0,3,1,3,2,2,2,3,4,3,1,3,6,1,4,2,5,0,2,2,3,2,2,2,5,1,4,1,3,2,2,2,3,1,4,1,4,1,2,3,2,3,4,2
"162. A/S ""DAUGAVPILS SILTUMTĪKLI""",4,0,4,0,2,0,2,0,1,0,2,0,2,0,2,0,1,0,3,0,2,0,2,0,1,0,1,0,2,0,1,0,25,0,21,1,19,0,16,0,12,0,13,0,14,0,14,0,14,0,11,0,12,0,13,0,12,0,11,1,11,0,12,1,10,0,13,0,11,0,9,0,8,0,9,0,10,0,9,0,10,0,8,0,9,0,9,0,8,0,8,0,8,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,7,0,7,0,5,0,5,0,4,0,8,0,6,0,5,0,5,0,5,0,5,0,5,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,35,1,6,1,9,2,15,1,11,0,7,1,8,1,6,1,7,2,7,1,5,1,5,1,6,1,4,1,7,2,9,4,46,1,33,4,25,1,23,2,25,1,26,1,27,3,27,1,23,2,24,3,6,0,2,0,3,1,2,1,2,1,2,1,0,0,3,0,2,0,4,0,2,0,2,0,2,0,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,3,8,3,8,3,6,3,5,3,5,3,5,3,4,3,6,3,5,4,7,2,6,3,5,3,9,3,5,3,4,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,0,0,14,3,3,2,2,2,3,2,2,2,2,3,2,3,3,2,2,3,1,3,3,2,2,2,3,2,2,2,2,3,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,5,2,2,2,0,3,0,4,0,2,5,2,2,1,1,1,0,1,1,1,1,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163. DIENAS CENTRS ""SASKARSME""",4,0,3,2,1,1,0,2,0,1,0,1,0,3,1,2,0,1,0,2,0,1,0,2,0,1,0,3,1,1,0,1,19,0,12,0,12,0,8,0,13,0,8,0,9,0,8,0,8,0,9,0,8,0,11,0,8,0,8,0,9,0,10,0,13,0,6,1,4,1,4,1,3,1,2,1,1,2,2,2,2,1,4,1,2,1,4,0,2,1,2,1,5,1,3,1,1,0,4,0,2,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,26,0,7,0,10,0,8,0,8,0,7,0,8,0,7,0,7,0,7,0,8,0,7,0,8,0,7,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,32,2,13,0,18,1,18,2,21,1,13,0,7,1,10,0,9,0,9,0,9,0,6,1,8,0,7,0,8,0,12,0,41,2,38,2,28,2,25,3,25,3,29,2,32,2,26,2,25,2,25,3,10,0,1,0,1,0,2,0,1,0,1,0,0,0,2,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,4,3,0,3,14,1,1,3,0,3,1,3,4,3,1,3,6,1,8,2,0,3,3,2,2,3,1,3,0,3,3,3,7,4,2,3,2,2,3,2,1,2,1,2,1,3,2,3,2,3,5,2,1,3,3,3,2,2,2,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,3,0,2,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,2,20,2,10,1,3,2,1,3,1,4,1,4,7,2,2,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,0,1,2,0,3,0,3,0,3,0,3,0,3,0,3,3,2,0,3,0,3,0,3,0,3,1,3,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
