Apgabals,Struktūrvienība,Party,Name,Gender,Number,Pluses,Minuses
Riga,Rīga,1. Jaunā VIENOTĪBA,Edgars Rinkēvičs,Male,1,35072,1090
Riga,Rīga,1. Jaunā VIENOTĪBA,Inese Lībiņa-Egnere,Female,2,8640,2609
Riga,Rīga,1. Jaunā VIENOTĪBA,Andrejs Judins,Male,3,10689,2487
Riga,Rīga,1. Jaunā VIENOTĪBA,Kārlis Šadurskis,Male,4,7525,9229
Riga,Rīga,1. Jaunā VIENOTĪBA,Zanda Kalniņa-Lukaševica,Female,5,4676,4496
Riga,Rīga,1. Jaunā VIENOTĪBA,Karina Ploka,Female,6,1595,2821
Riga,Rīga,1. Jaunā VIENOTĪBA,Dāvis Mārtiņš Daugavietis,Male,7,2556,2511
Riga,Rīga,1. Jaunā VIENOTĪBA,Iveta Benhena-Bēkena,Female,8,1779,3524
Riga,Rīga,1. Jaunā VIENOTĪBA,Lolita Čigāne,Female,9,5218,6434
Riga,Rīga,1. Jaunā VIENOTĪBA,Uģis Rotbergs,Male,10,2288,2369
Riga,Rīga,1. Jaunā VIENOTĪBA,Agnese Krasta,Female,11,1477,1792
Riga,Rīga,1. Jaunā VIENOTĪBA,Jānis Patmalnieks,Male,12,1846,2096
Riga,Rīga,1. Jaunā VIENOTĪBA,Zane Skujiņa,Female,13,1903,1894
Riga,Rīga,1. Jaunā VIENOTĪBA,Irma Kalniņa,Female,14,3142,2441
Riga,Rīga,1. Jaunā VIENOTĪBA,Gatis Liepiņš,Male,15,1288,2071
Riga,Rīga,1. Jaunā VIENOTĪBA,Santa Survila,Female,16,1251,2151
Riga,Rīga,1. Jaunā VIENOTĪBA,Ričards Aksels Ozoliņš,Male,17,1121,2153
Riga,Rīga,1. Jaunā VIENOTĪBA,Edgars Jākobsons,Male,18,1005,2024
Riga,Rīga,1. Jaunā VIENOTĪBA,Normunds Balabka,Male,19,987,2303
Riga,Rīga,1. Jaunā VIENOTĪBA,Barba Tuzika,Female,20,1232,2383
Riga,Rīga,1. Jaunā VIENOTĪBA,Toms Vāvere,Male,21,1329,2301
Riga,Rīga,1. Jaunā VIENOTĪBA,Inese Kalniņa,Female,22,1343,1725
Riga,Rīga,1. Jaunā VIENOTĪBA,Māris Luste,Male,23,965,1946
Riga,Rīga,1. Jaunā VIENOTĪBA,Dmitrijs Golubevs,Male,24,1711,3645
Riga,Rīga,1. Jaunā VIENOTĪBA,Jānis Šiliņš,Male,25,1064,2472
Riga,Rīga,1. Jaunā VIENOTĪBA,Kristīne Jučkoviča,Female,26,1069,2097
Riga,Rīga,1. Jaunā VIENOTĪBA,Jānis Lazdāns,Male,27,936,1775
Riga,Rīga,1. Jaunā VIENOTĪBA,Edvīns Kalviņš,Male,28,976,1999
Riga,Rīga,1. Jaunā VIENOTĪBA,Dāvis Dejus,Male,29,1167,2990
Riga,Rīga,1. Jaunā VIENOTĪBA,Miķelis Cinis,Male,30,937,1865
Riga,Rīga,1. Jaunā VIENOTĪBA,Jogita Ozola,Female,31,905,2148
Riga,Rīga,1. Jaunā VIENOTĪBA,Roberts Matulis,Male,32,946,1818
Riga,Rīga,1. Jaunā VIENOTĪBA,Emīls Dālderis,Male,33,1117,2478
Riga,Rīga,1. Jaunā VIENOTĪBA,Didzis Brūklītis,Male,34,949,1855
Riga,Rīga,1. Jaunā VIENOTĪBA,Linards Rundāns,Male,35,671,2535
Riga,Rīga,1. Jaunā VIENOTĪBA,Oskars Baltais,Male,36,839,2696
Riga,Rīga,1. Jaunā VIENOTĪBA,Andis Geižāns,Male,37,883,2083
Riga,Rīga,1. Jaunā VIENOTĪBA,Laura Martinova,Female,38,949,2171
Riga,Rīga,1. Jaunā VIENOTĪBA,Edmunds Jurēvics,Male,39,1739,2208
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Miroslavs Mitrofanovs,Male,1,5180,216
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Inna Djeri,Female,2,1985,162
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Normunds Grostiņš,Male,3,1596,152
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Jūlija Sohina,Female,4,1766,109
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Igors Meļņikovs,Male,5,1372,138
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Ļubova Ždanova,Female,6,1683,121
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Vladimirs Sokolovs,Male,7,1320,97
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Natālija Jolkina,Female,8,1297,109
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Deniss Gorba,Male,9,1073,107
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Tatjana Andrijeca,Female,10,1067,124
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Dmitrijs Šandibins,Male,11,923,116
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Ņina Kaplāne,Female,12,829,124
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Andžejs Zdanovičs,Male,13,909,113
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Jekaterina Mitrofanova,Female,14,1139,162
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Maksims Molčanovs,Male,15,916,107
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Andrejs Solopenko,Male,16,844,105
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Nataļja Ļebedeva,Female,17,1040,112
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Vladislavs Rafaļskis,Male,18,1338,119
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Filips Dudins,Male,19,793,116
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Tatjana Favorska,Female,20,1082,104
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Viktors Jolkins,Male,21,1002,103
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Ņina Isačenkova,Female,22,797,107
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Vjačeslavs Altuhovs,Male,23,897,112
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Marina Ņepomņaščiha,Female,24,790,106
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Mihails Gončarovs,Male,25,854,90
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Oļegs Orlovs,Male,26,1009,108
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Ņikita Molčanovs,Male,27,833,108
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Regīna Savicka,Female,28,825,114
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Viktors Dergunovs,Male,29,865,92
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Vladimirs Hodakovskis,Male,30,838,111
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Tatjana Jemeļjanova,Female,31,925,102
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Igors Gladkovs,Male,32,810,105
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Oļegs Fjodorovs,Male,33,876,93
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Aleksejs Kurepins,Male,34,746,104
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Rasma Bārbale,Female,35,792,140
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Aleksandrs Tkačovs,Male,36,850,107
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Aleksandrs Giļmans,Male,37,1017,129
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Vladimirs Buzajevs,Male,38,1909,109
Riga,Rīga,3. Zaļo un Zemnieku savienība,Gunārs Kūtris,Male,1,2591,524
