Apgabals,Struktūrvienība,Party,Name,Number,Pluses,Minuses
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Arvils Ašeradens,1,4057,1380
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Inga Bērziņa,2,3418,1030
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Guntars Račs,3,2544,2751
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Kārlis Strautiņš,4,1099,889
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Ģirts Valdis Kristovskis,5,2506,2171
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Ingrīda Circene,6,2956,1601
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Jānis Grahoļskis,7,758,1032
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Inna Kislina,8,722,1193
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Andis Bāliņš,9,594,981
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Dace Šēle,10,942,934
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Andris Jefimovs,11,580,1123
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Edgars Lūks,12,665,1054
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Intars Zēns,13,603,950
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Māris Rozenbergs,14,866,907
Kurzeme,Kurzeme,1. Jaunā VIENOTĪBA,Nellija Kleinberga,15,1595,1249
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Jeļena Osipova,1,786,28
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Igors Glazunovs,2,314,39
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Aleksandrs Bērziņš,3,289,42
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Tamāra Šustova,4,262,40
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Romans Rodionovs,5,279,43
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Valentīna Babaka,6,250,46
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Andrejs Ostapenko,7,284,37
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Vinsenta Daņiļceva,8,236,44
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Oļegs Ivanovs,9,268,41
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Sergejs Muļivanovs,10,250,44
Kurzeme,Kurzeme,"2. ""Latvijas Krievu savienība""",Vladislavs Aleksandrovs,11,247,46
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Uldis Augulis,1,4565,854
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Jānis Vucāns,2,2809,691
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Gundars Daudze,3,3663,862
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Reinis Doniņš,4,2296,798
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Agija Kaunese,5,1857,767
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Rūdolfs Punkstiņš,6,1691,800
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Ģirts Štekerhofs,7,2525,891
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Juris Goldmanis,8,1992,711
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Andris Valerts,9,2080,684
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Aija Staškova-Ciemīte,10,1747,750
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Ilze Buņķe,11,2179,799
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Dainis Kūla,12,2308,935
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Arvis Kalniņš,13,1694,685
Kurzeme,Kurzeme,3. Zaļo un Zemnieku savienība,Kristīne Vāgnere-Davidova,14,2377,792
