"Struktūrvienība","Balsstiesīgie","Nobalsojušie","Derīgās vēlēšanu aploksnes","Derīgās vēlēšanu zīmes","1. Jaunā VIENOTĪBA","2. ""Latvijas Krievu savienība""","3. Zaļo un Zemnieku savienība","4. TAUTAS KALPI LATVIJAI","5. ""SUVERĒNĀ VARA""","6. ""Kristīgi Progresīvā Partija""","7. ""Saskaņa"" sociāldemokrātiskā partija","8. Politiskā partija ""Stabilitātei!""","9. Politiskā partija ""Tautas varas spēks""","10. Partija ""Vienoti Latvijai""","11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""","12. LATVIJA PIRMAJĀ VIETĀ","13. Konservatīvie","14. Politiskā partija ""KATRAM UN KATRAI""","15. ""PROGRESĪVIE""","16. Attīstībai/Par!","17. ""Apvienība Latvijai""","18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""","19. Politiskā partija ""Republika"""
"Centrs",1542407,916368,914022,903639,173425,33203,113676,9176,29603,1379,43943,62168,10350,1413,84939,57033,28270,33578,56327,45452,2985,100631,16088
"Rīga",565297,298339,296928,294095,61137,14106,16371,2572,14918,462,19713,27172,4412,399,21200,25518,8067,13737,26881,11564,906,20513,4447
"Rīga",403248,272379,271892,269223,54601,13529,14883,2209,14275,428,19047,25408,4139,351,19401,24332,7356,12075,23290,10233,802,18800,4064
"1. RĪGAS DAUGAVGRĪVAS PAMATSKOLA",,2129,2117,2104,127,201,125,17,201,4,270,471,56,3,59,264,26,99,81,36,3,42,19
"2. RĪGAS BOLDERĀJAS JAUNĀ PAMATSKOLA",,1427,1426,1413,232,71,87,13,73,2,90,196,27,3,148,116,31,66,96,47,2,92,21
"3. RĪGAS 33. VIDUSSKOLA",,1345,1342,1327,64,90,77,15,136,6,153,329,28,1,38,186,15,68,51,24,6,28,12
"4. RĪGAS 33. VIDUSSKOLA",,1372,1369,1344,82,119,89,12,124,4,140,333,27,1,40,170,21,54,49,25,2,33,19
"5. KULTŪRAS CENTRS ""IĻĢUCIEMS""",,1972,1972,1955,317,118,102,19,134,5,191,284,43,2,94,176,57,81,127,54,11,106,34
"6. KULTŪRAS CENTRS ""IĻĢUCIEMS""",,2348,2348,2310,393,147,145,20,141,6,178,262,49,3,160,203,56,128,142,82,11,150,34
"7. RĪGAS IĻĢUCIEMA PAMATSKOLA ",,1291,1291,1276,224,75,82,18,84,3,112,125,17,4,77,103,32,64,89,50,5,98,14
"8. RĪGAS 71. VIDUSSKOLA (2. KORPUSS)",,1339,1326,1308,170,81,72,10,101,2,116,184,18,1,78,158,32,62,94,37,1,73,18
"9. RĪGAS 71. VIDUSSKOLA (2. KORPUSS)",,1076,1075,1064,162,51,46,11,98,4,106,147,24,0,71,108,18,55,72,25,2,49,15
"10. RĪGAS CENTRĀLĀS BIBLIOTĒKAS FILIĀLBIBLIOTĒKA ""PĀRDAUGAVA""",,2917,2915,2877,811,121,136,21,106,9,176,171,32,2,271,169,77,93,262,129,6,237,48
"11. RĪGAS 34. VIDUSSKOLA",,944,944,932,145,69,58,7,68,1,92,91,17,1,62,80,29,39,82,33,5,36,17
"12. RĪGAS 41. VIDUSSKOLA",,1382,1382,1368,333,62,59,8,48,4,66,78,14,0,127,105,59,54,123,73,4,119,32
"13. RĪGAS IMANTAS VIDUSSKOLA",,2264,2263,2229,376,116,142,13,167,7,168,222,24,2,148,228,69,122,158,62,10,161,34
"14. RĪGAS IMANTAS VIDUSSKOLA",,1459,1459,1440,275,69,102,10,66,3,113,114,22,0,121,157,35,70,101,54,3,110,15
"15. RĪGAS 96. VIDUSSKOLA",,1937,1937,1914,203,149,106,18,189,4,229,269,42,1,85,268,26,85,99,46,4,69,22
"16. RĪGAS 96. VIDUSSKOLA",,1194,1193,1177,113,110,78,7,95,2,139,187,18,1,49,146,8,55,74,37,6,40,12
"17. KULTŪRAS UN ATPŪTAS CENTRS ""IMANTA""",,1103,1103,1092,147,67,69,9,70,1,100,141,21,3,66,135,33,48,88,31,3,46,14
"18. KULTŪRAS UN ATPŪTAS CENTRS “IMANTA” ",,1905,1902,1886,291,131,101,22,155,6,134,195,30,4,125,193,38,91,158,52,6,131,23
"19. RĪGAS ANNIŅMUIŽAS VIDUSSKOLA",,1870,1870,1838,210,154,84,23,155,2,166,223,38,5,74,254,35,113,100,57,2,98,45
"20. RĪGAS ANNIŅMUIŽAS VIDUSSKOLA",,3261,3245,3214,480,252,158,19,234,5,352,410,67,0,186,339,68,154,160,92,7,187,44
"21. RĪGAS OSTVALDA VIDUSSKOLA",,1770,1768,1751,213,171,94,10,161,4,182,275,30,3,84,181,40,87,99,35,1,59,22
"22. RĪGAS 69. PAMATSKOLA",,820,819,811,194,32,54,8,19,1,45,37,12,2,94,65,13,41,66,25,3,84,16
"23. RĪGAS 69. PAMATSKOLA",,1189,1189,1175,212,72,73,11,62,5,91,88,26,1,103,105,39,63,81,31,2,95,15
"24. RĪGAS 34. VIDUSSKOLA",,1988,1986,1964,345,116,99,17,125,5,161,190,24,1,110,199,59,80,183,93,5,122,30
"25. RĪGAS VALSTS VĀCU ĢIMNĀZIJA",,1546,1544,1529,447,40,69,15,38,4,66,84,9,1,146,89,53,43,201,75,6,114,29
"26. RĪGAS VALSTS VĀCU ĢIMNĀZIJA",,1608,1608,1594,528,61,58,13,54,2,77,71,14,3,134,80,52,42,179,80,5,126,15
"27. RĪGAS TEHNISKĀ UNIVERSITĀTE",,1401,1399,1391,398,37,48,4,53,3,46,76,15,2,101,104,53,40,214,78,5,87,27
"28. LATVIJAS NACIONĀLĀ BIBLIOTĒKA",,1618,1618,1609,514,46,73,7,47,1,50,54,14,4,128,76,61,51,235,95,4,124,25
"29. ĀGENSKALNA VALSTS ĢIMNĀZIJA",,1950,1948,1933,641,39,76,17,39,4,47,59,18,0,207,85,83,59,261,100,0,175,23
"30. ZIEMEĻVALSTU ĢIMNĀZIJA",,2326,2325,2309,454,139,122,15,136,3,164,232,38,0,163,229,70,101,161,83,3,158,38
"31. ZIEMEĻVALSTU ĢIMNĀZIJA",,1753,1752,1732,238,112,103,10,136,2,165,207,35,2,88,189,44,84,113,51,2,133,18
"32. RĪGAS ZOLITŪDES ĢIMNĀZIJA",,1836,1836,1812,151,153,98,13,206,2,236,251,35,0,62,246,37,124,91,32,2,52,21
"33. RĪGAS ZOLITŪDES ĢIMNĀZIJA",,1916,1916,1897,192,177,108,13,190,2,241,283,33,0,75,250,35,96,93,31,2,62,14
"34. RĪGAS VALDORFSKOLA",,2415,2384,2384,574,87,146,16,91,3,107,114,23,1,255,179,61,122,258,106,7,197,37
"35. RĪGAS ARKĀDIJAS VIDUSSKOLA",,1498,1497,1471,370,46,72,16,81,4,65,84,25,3,170,96,50,65,117,78,5,111,13
"36. FRIČA BRĪVZEMNIEKA PAMATSKOLA",,1369,1369,1357,384,27,81,10,26,1,42,63,8,1,142,80,45,62,173,63,2,123,24
"37. ADMINISTRATĪVĀ ĒKA (BIJUSĪ RĪGAS PĀRDAUGAVAS IZPILDDIREKCIJA)",,2924,2923,2903,925,80,132,22,74,6,115,121,28,3,286,157,115,61,326,128,10,269,45
"38. ADMINISTRATĪVĀ ĒKA (BIJUSĪ RĪGAS PĀRDAUGAVAS IZPILDDIREKCIJA)",,1808,1808,1792,488,50,109,13,53,1,67,121,30,7,141,133,78,62,175,71,20,147,26
