Apgabals,Nr.,Kandidātu saraksts,Derīgās zīmes,Procenti*,Vietas
Riga,1,Jaunā VIENOTĪBA,61137,"20,59%",11
Riga,2,"""Latvijas Krievu savienība""",14106,"4,75%",0
Riga,3,Zaļo un Zemnieku savienība,16371,"5,51%",3
Riga,4,TAUTAS KALPI LATVIJAI,2572,"0,87%",0
Riga,5,"""SUVERĒNĀ VARA""",14918,"5,02%",0
Riga,6,"""Kristīgi Progresīvā Partija""",462,"0,16%",0
Riga,7,"""Saskaņa"" sociāldemokrātiskā partija",19713,"6,64%",0
Riga,8,"Politiskā partija ""Stabilitātei!""",27172,"9,15%",5
Riga,9,"Politiskā partija ""Tautas varas spēks""",4412,"1,49%",0
Riga,10,"Partija ""Vienoti Latvijai""",399,"0,13%",0
Riga,11,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",21200,"7,14%",4
Riga,12,LATVIJA PIRMAJĀ VIETĀ,25518,"8,59%",4
Riga,13,Konservatīvie,8067,"2,72%",0
Riga,14,"Politiskā partija ""KATRAM UN KATRAI""",13737,"4,63%",0
Riga,15,"""PROGRESĪVIE""",26881,"9,05%",5
Riga,16,Attīstībai/Par!,11564,"3,89%",0
Riga,17,"""Apvienība Latvijai""",906,"0,31%",0
Riga,18,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",20513,"6,91%",4
Riga,19,"Politiskā partija ""Republika""",4447,"1,50%",0
